,0,1
AUROC,0.6388888888888888,0.6388888888888888
Threshold,1,1
sensitiveAttr,0,1
N_0,12,42
N_1,1,17
ACC,0.8461538461538461,0.711864406779661
TPR,1.0,0.4117647058823529
TNR,0.8333333333333334,0.8333333333333334
PPV,0.3333333333333333,0.5
NPV,1.0,0.7777777777777778
PR,0.23076923076923078,0.23728813559322035
NR,0.7692307692307693,0.7627118644067796
FPR,0.16666666666666663,0.16666666666666663
FNR,0.0,0.5882352941176471
EOpp0,0.0,0.0
EOpp1,0.5882352941176471,0.5882352941176471
EOdd,0.588235294117647,0.588235294117647
EOdd0,0.5882352941176471,0.5882352941176471
EOdd1,0.588235294117647,0.588235294117647
PQD,0.8412942989214176,0.8412942989214176
PQD(class),0.8412942989214176,0.8412942989214176
EPPV,0.6666666666666666,0.6666666666666666
ENPV,0.7777777777777778,0.7777777777777778
DPM(Positive),0.9725274725274725,0.9725274725274725
DPM(Negative),0.9915254237288135,0.9915254237288135
EOM(Positive),0.4117647058823529,0.4117647058823529
EOM(Negative),1.0,1.0
OverAllAcc,0.7361111111111112,0.7361111111111112
TOTALACC,0.8461538461538461,0.711864406779661
TOTALACCDIF,0.13428943937418514,0.13428943937418514
ACCDIF,0.13428943937418514,0.13428943937418514
