,0,1
AUROC,0.6203703703703703,0.6203703703703703
Threshold,1,1
sensitiveAttr,0,1
N_0,12,42
N_1,1,17
ACC,0.7692307692307693,0.6949152542372882
TPR,1.0,0.4117647058823529
TNR,0.75,0.8095238095238095
PPV,0.25,0.4666666666666667
NPV,1.0,0.7727272727272727
PR,0.3076923076923077,0.2542372881355932
NR,0.6923076923076923,0.7457627118644068
FPR,0.25,0.19047619047619047
FNR,0.0,0.5882352941176471
EOpp0,0.059523809523809534,0.059523809523809534
EOpp1,0.5882352941176471,0.5882352941176471
EOdd,0.6477591036414566,0.6477591036414566
EOdd0,0.6477591036414565,0.6477591036414565
EOdd1,0.6477591036414566,0.6477591036414566
PQD,0.9033898305084745,0.9033898305084745
PQD(class),0.9033898305084745,0.9033898305084745
EPPV,0.5357142857142857,0.5357142857142857
ENPV,0.7727272727272727,0.7727272727272727
DPM(Positive),0.8262711864406779,0.8262711864406779
DPM(Negative),0.9283216783216783,0.9283216783216783
EOM(Positive),0.4117647058823529,0.4117647058823529
EOM(Negative),0.9264705882352942,0.9264705882352942
OverAllAcc,0.7083333333333334,0.7083333333333334
TOTALACC,0.7692307692307693,0.6949152542372882
TOTALACCDIF,0.0743155149934811,0.0743155149934811
ACCDIF,0.0743155149934811,0.0743155149934811
