,0,1
AUROC,0.6018518518518519,0.6018518518518519
Threshold,1,1
sensitiveAttr,0,1
N_0,12,42
N_1,1,17
ACC,0.6153846153846154,0.6949152542372882
TPR,1.0,0.4117647058823529
TNR,0.5833333333333334,0.8095238095238095
PPV,0.16666666666666666,0.4666666666666667
NPV,1.0,0.7727272727272727
PR,0.46153846153846156,0.2542372881355932
NR,0.5384615384615384,0.7457627118644068
FPR,0.41666666666666663,0.19047619047619047
FNR,0.0,0.5882352941176471
EOpp0,0.22619047619047616,0.22619047619047616
EOpp1,0.5882352941176471,0.5882352941176471
EOdd,0.8144257703081231,0.8144257703081231
EOdd0,0.8144257703081231,0.8144257703081231
EOdd1,0.8144257703081231,0.8144257703081231
PQD,0.8855534709193246,0.8855534709193246
PQD(class),0.8855534709193246,0.8855534709193246
EPPV,0.3571428571428571,0.3571428571428571
ENPV,0.7727272727272727,0.7727272727272727
DPM(Positive),0.5508474576271186,0.5508474576271186
DPM(Negative),0.722027972027972,0.722027972027972
EOM(Positive),0.4117647058823529,0.4117647058823529
EOM(Negative),0.7205882352941176,0.7205882352941176
OverAllAcc,0.6805555555555556,0.6805555555555556
TOTALACC,0.6153846153846154,0.6949152542372882
TOTALACCDIF,0.07953063885267275,0.07953063885267275
ACCDIF,0.07953063885267275,0.07953063885267275
