,0,1
AUROC,0.8521428571428572,0.8521428571428572
Threshold,1,1
sensitiveAttr,0,1
N_0,2,19
N_1,11,89
ACC,0.9230769230769231,0.9444444444444444
TPR,1.0,0.9887640449438202
TNR,0.5,0.7368421052631579
PPV,0.9166666666666666,0.946236559139785
NPV,1.0,0.9333333333333333
PR,0.9230769230769231,0.8611111111111112
NR,0.07692307692307693,0.1388888888888889
FPR,0.5,0.26315789473684215
FNR,0.0,0.011235955056179803
EOpp0,0.23684210526315785,0.23684210526315785
EOpp1,0.011235955056179803,0.011235955056179803
EOdd,0.24807806031933755,0.24807806031933755
EOdd0,0.24807806031933766,0.24807806031933766
EOdd1,0.24807806031933755,0.24807806031933755
PQD,0.9773755656108598,0.9773755656108598
PQD(class),0.9773755656108598,0.9773755656108598
EPPV,0.9687499999999999,0.9687499999999999
ENPV,0.9333333333333333,0.9333333333333333
DPM(Positive),0.9328703703703703,0.9328703703703703
DPM(Negative),0.5538461538461539,0.5538461538461539
EOM(Positive),0.9887640449438202,0.9887640449438202
EOM(Negative),0.6785714285714286,0.6785714285714286
OverAllAcc,0.9421487603305785,0.9421487603305785
TOTALACC,0.9230769230769231,0.9444444444444444
TOTALACCDIF,0.02136752136752129,0.02136752136752129
ACCDIF,0.02136752136752129,0.02136752136752129
