,0,1
AUROC,0.9165254237288135,0.9165254237288135
Threshold,1,1
sensitiveAttr,0,1
N_0,2,18
N_1,12,47
ACC,0.9285714285714286,0.9538461538461539
TPR,1.0,0.9787234042553191
TNR,0.5,0.8888888888888888
PPV,0.9230769230769231,0.9583333333333334
NPV,1.0,0.9411764705882353
PR,0.9285714285714286,0.7384615384615385
NR,0.07142857142857142,0.26153846153846155
FPR,0.5,0.11111111111111116
FNR,0.0,0.021276595744680882
EOpp0,0.38888888888888884,0.38888888888888884
EOpp1,0.021276595744680882,0.021276595744680882
EOdd,0.41016548463356983,0.41016548463356983
EOdd0,0.4101654846335697,0.4101654846335697
EOdd1,0.41016548463356983,0.41016548463356983
PQD,0.9735023041474654,0.9735023041474654
PQD(class),0.9735023041474654,0.9735023041474654
EPPV,0.9632107023411371,0.9632107023411371
ENPV,0.9411764705882353,0.9411764705882353
DPM(Positive),0.7952662721893491,0.7952662721893491
DPM(Negative),0.27310924369747897,0.27310924369747897
EOM(Positive),0.9787234042553191,0.9787234042553191
EOM(Negative),0.5625,0.5625
OverAllAcc,0.9493670886075949,0.9493670886075949
TOTALACC,0.9285714285714286,0.9538461538461539
TOTALACCDIF,0.025274725274725296,0.025274725274725296
ACCDIF,0.025274725274725296,0.025274725274725296
