,0,1
AUROC,0.8885746606334841,0.8885746606334841
Threshold,1,1
sensitiveAttr,0,1
N_0,12,90
N_1,12,40
ACC,0.7916666666666666,0.9153846153846154
TPR,0.9166666666666666,0.85
TNR,0.6666666666666666,0.9444444444444444
PPV,0.7333333333333333,0.8717948717948718
NPV,0.8888888888888888,0.9340659340659341
PR,0.625,0.3
NR,0.375,0.7
FPR,0.33333333333333337,0.05555555555555558
FNR,0.08333333333333337,0.15000000000000002
EOpp0,0.2777777777777778,0.2777777777777778
EOpp1,0.06666666666666665,0.06666666666666665
EOdd,0.34444444444444444,0.34444444444444444
EOdd0,0.34444444444444455,0.34444444444444455
EOdd1,0.34444444444444444,0.34444444444444444
PQD,0.8648459383753502,0.8648459383753502
PQD(class),0.8648459383753502,0.8648459383753502
EPPV,0.8411764705882352,0.8411764705882352
ENPV,0.9516339869281045,0.9516339869281045
DPM(Positive),0.48,0.48
DPM(Negative),0.5357142857142857,0.5357142857142857
EOM(Positive),0.9272727272727272,0.9272727272727272
EOM(Negative),0.7058823529411764,0.7058823529411764
OverAllAcc,0.8961038961038961,0.8961038961038961
TOTALACC,0.7916666666666666,0.9153846153846154
TOTALACCDIF,0.12371794871794872,0.12371794871794872
ACCDIF,0.12371794871794872,0.12371794871794872
