,0,1
AUROC,0.9219457013574661,0.9219457013574661
Threshold,1,1
sensitiveAttr,0,1
N_0,12,90
N_1,12,40
ACC,0.7916666666666666,0.9307692307692308
TPR,1.0,0.95
TNR,0.5833333333333334,0.9222222222222223
PPV,0.7058823529411765,0.8444444444444444
NPV,1.0,0.9764705882352941
PR,0.7083333333333334,0.34615384615384615
NR,0.2916666666666667,0.6538461538461539
FPR,0.41666666666666663,0.07777777777777772
FNR,0.0,0.050000000000000044
EOpp0,0.3388888888888889,0.3388888888888889
EOpp1,0.050000000000000044,0.050000000000000044
EOdd,0.38888888888888884,0.38888888888888884
EOdd0,0.38888888888888895,0.38888888888888895
EOdd1,0.38888888888888884,0.38888888888888884
PQD,0.8505509641873278,0.8505509641873278
PQD(class),0.8505509641873278,0.8505509641873278
EPPV,0.8359133126934986,0.8359133126934986
ENPV,0.9764705882352941,0.9764705882352941
DPM(Positive),0.48868778280542985,0.48868778280542985
DPM(Negative),0.44607843137254904,0.44607843137254904
EOM(Positive),0.95,0.95
EOM(Negative),0.6325301204819277,0.6325301204819277
OverAllAcc,0.9090909090909091,0.9090909090909091
TOTALACC,0.7916666666666666,0.9307692307692308
TOTALACCDIF,0.13910256410256416,0.13910256410256416
ACCDIF,0.13910256410256416,0.13910256410256416
