,0,1
AUROC,0.9078054298642533,0.9078054298642533
Threshold,1,1
sensitiveAttr,0,1
N_0,12,90
N_1,12,40
ACC,0.7916666666666666,0.9307692307692308
TPR,0.9166666666666666,0.9
TNR,0.6666666666666666,0.9444444444444444
PPV,0.7333333333333333,0.8780487804878049
NPV,0.8888888888888888,0.9550561797752809
PR,0.625,0.3153846153846154
NR,0.375,0.6846153846153846
FPR,0.33333333333333337,0.05555555555555558
FNR,0.08333333333333337,0.09999999999999998
EOpp0,0.2777777777777778,0.2777777777777778
EOpp1,0.016666666666666607,0.016666666666666607
EOdd,0.2944444444444444,0.2944444444444444
EOdd0,0.2944444444444443,0.2944444444444443
EOdd1,0.2944444444444444,0.2944444444444444
PQD,0.8505509641873278,0.8505509641873278
PQD(class),0.8505509641873278,0.8505509641873278
EPPV,0.8351851851851851,0.8351851851851851
ENPV,0.9307189542483659,0.9307189542483659
DPM(Positive),0.5046153846153846,0.5046153846153846
DPM(Negative),0.547752808988764,0.547752808988764
EOM(Positive),0.9818181818181819,0.9818181818181819
EOM(Negative),0.7058823529411764,0.7058823529411764
OverAllAcc,0.9090909090909091,0.9090909090909091
TOTALACC,0.7916666666666666,0.9307692307692308
TOTALACCDIF,0.13910256410256416,0.13910256410256416
ACCDIF,0.13910256410256416,0.13910256410256416
