,0,1
ACC,"[1.0, 0.88, 0.88]","[0.9863013698630136, 0.9452054794520548, 0.958904109589041]"
TPR,"[1.0, 0.8181818181818182, 0.9166666666666666]","[1.0, 0.9438202247191011, 0.9230769230769231]"
TNR,"[1.0, 0.9285714285714286, 0.8461538461538461]","[0.984375, 0.9473684210526315, 0.9719626168224299]"
PPV,"[1.0, 0.9, 0.8461538461538461]","[0.9, 0.9655172413793104, 0.9230769230769231]"
NPV,"[1.0, 0.8666666666666667, 0.9166666666666666]","[1.0, 0.9152542372881356, 0.9719626168224299]"
PR,0.08,0.136986301369863
NR,0.92,0.863013698630137
FPR,"[0.0, 0.07142857142857142, 0.15384615384615385]","[0.015625, 0.05263157894736842, 0.028037383177570093]"
FNR,"[0.0, 0.18181818181818182, 0.08333333333333333]","[0.0, 0.056179775280898875, 0.07692307692307693]"
EOpp0,0.16023076314978668,0.16023076314978668
EOpp1,0.13204866294753936,0.13204866294753936
EOdd,0.2418649283144072,0.2418649283144072
PQD,0.9310144927536231,0.9310144927536231
PQD(class),0.9450100494436408,0.9450100494436408
EPPV,0.9162698412698412,0.9162698412698412
ENPV,0.963340851535296,0.963340851535296
DPM,0.5840000000000001,0.5840000000000001
EOM,0.9533128908128908,0.9533128908128908
OverAllAcc,0.935672514619883,0.935672514619883
TOTALACC,0.88,0.9452054794520548
TOTALACCDIF,0.0652054794520548,0.0652054794520548
ACCDIF,0.052602739726027394,0.052602739726027394
