,0,1
ACC,"[1.0, 0.8, 0.8]","[0.9863013698630136, 0.952054794520548, 0.9657534246575342]"
TPR,"[1.0, 0.7272727272727273, 0.8333333333333334]","[1.0, 0.9550561797752809, 0.9230769230769231]"
TNR,"[1.0, 0.8571428571428571, 0.7692307692307693]","[0.984375, 0.9473684210526315, 0.9813084112149533]"
PPV,"[1.0, 0.8, 0.7692307692307693]","[0.9, 0.9659090909090909, 0.9473684210526315]"
NPV,"[1.0, 0.8, 0.8333333333333334]","[1.0, 0.9310344827586207, 0.9722222222222222]"
PR,0.08,0.136986301369863
NR,0.92,0.863013698630137
FPR,"[0.0, 0.14285714285714285, 0.23076923076923078]","[0.015625, 0.05263157894736842, 0.018691588785046728]"
FNR,"[0.0, 0.2727272727272727, 0.16666666666666666]","[0.0, 0.0449438202247191, 0.07692307692307693]"
EOpp0,0.3179282058939584,0.3179282058939584
EOpp1,0.31752704224614337,0.31752704224614337
EOdd,0.2755169408333735,0.2755169408333735
PQD,0.8402877697841726,0.8402877697841726
PQD(class),0.8849859779911425,0.8849859779911425
EPPV,0.8467337020278197,0.8467337020278197
ENPV,0.9054673721340388,0.9054673721340388
DPM,0.5840000000000001,0.5840000000000001
EOM,0.8880917013269954,0.8880917013269954
OverAllAcc,0.9298245614035088,0.9298245614035088
TOTALACC,0.8,0.952054794520548
TOTALACCDIF,0.15205479452054793,0.15205479452054793
ACCDIF,0.11050228310502282,0.11050228310502282
