,0,1
AUROC,0.8812251578209025,0.8812251578209025
Threshold,1,1
sensitiveAttr,0,1
N_0,11,83
N_1,6,85
ACC,0.9411764705882353,0.875
TPR,1.0,0.8823529411764706
TNR,0.9090909090909091,0.8674698795180723
PPV,0.8571428571428571,0.872093023255814
NPV,1.0,0.8780487804878049
PR,0.4117647058823529,0.5119047619047619
NR,0.5882352941176471,0.4880952380952381
FPR,0.09090909090909094,0.1325301204819277
FNR,0.0,0.11764705882352944
EOpp0,0.041621029572836754,0.041621029572836754
EOpp1,0.11764705882352944,0.11764705882352944
EOdd,0.07602602925069268,0.07602602925069268
EOdd0,0.07602602925069268,0.07602602925069268
EOdd1,0.07602602925069268,0.07602602925069268
PQD,0.9296875,0.9296875
PQD(class),0.9296875,0.9296875
EPPV,0.9828571428571428,0.9828571428571428
ENPV,0.8780487804878049,0.8780487804878049
DPM(Positive),0.8043775649794802,0.8043775649794802
DPM(Negative),0.8297619047619047,0.8297619047619047
EOM(Positive),0.8823529411764706,0.8823529411764706
EOM(Negative),0.9542168674698795,0.9542168674698795
OverAllAcc,0.8810810810810811,0.8810810810810811
TOTALACC,0.9411764705882353,0.875
TOTALACCDIF,0.06617647058823528,0.06617647058823528
ACCDIF,0.06617647058823528,0.06617647058823528
