,0,1
AUROC,0.8920388122515781,0.8920388122515781
Threshold,1,1
sensitiveAttr,0,1
N_0,11,83
N_1,6,85
ACC,0.9411764705882353,0.8869047619047619
TPR,1.0,0.8941176470588236
TNR,0.9090909090909091,0.8795180722891566
PPV,0.8571428571428571,0.8837209302325582
NPV,1.0,0.8902439024390244
PR,0.4117647058823529,0.5119047619047619
NR,0.5882352941176471,0.4880952380952381
FPR,0.09090909090909094,0.12048192771084343
FNR,0.0,0.10588235294117643
EOpp0,0.02957283680175249,0.02957283680175249
EOpp1,0.10588235294117643,0.10588235294117643
EOdd,0.07630951613942383,0.07630951613942383
EOdd0,0.07630951613942394,0.07630951613942394
EOdd1,0.07630951613942383,0.07630951613942383
PQD,0.9423363095238095,0.9423363095238095
PQD(class),0.9423363095238095,0.9423363095238095
EPPV,0.9699248120300751,0.9699248120300751
ENPV,0.8902439024390244,0.8902439024390244
DPM(Positive),0.8043775649794802,0.8043775649794802
DPM(Negative),0.8297619047619047,0.8297619047619047
EOM(Positive),0.8941176470588236,0.8941176470588236
EOM(Negative),0.9674698795180723,0.9674698795180723
OverAllAcc,0.8918918918918919,0.8918918918918919
TOTALACC,0.9411764705882353,0.8869047619047619
TOTALACCDIF,0.05427170868347342,0.05427170868347342
ACCDIF,0.05427170868347342,0.05427170868347342
