,0,1
AUROC,0.9340709600825208,0.9340709600825208
Threshold,1,1
sensitiveAttr,0,1
N_0,184,335
N_1,75,222
ACC,0.9227799227799228,0.947935368043088
TPR,0.8933333333333333,0.918918918918919
TNR,0.9347826086956522,0.9671641791044776
PPV,0.8481012658227848,0.9488372093023256
NPV,0.9555555555555556,0.9473684210526315
PR,0.305019305019305,0.3859964093357271
NR,0.694980694980695,0.6140035906642729
FPR,0.06521739130434778,0.032835820895522394
FNR,0.10666666666666669,0.08108108108108103
EOpp0,0.03238157040882539,0.03238157040882539
EOpp1,0.025585585585585657,0.025585585585585657
EOdd,0.006795984823239731,0.006795984823239731
EOdd0,0.006795984823239731,0.006795984823239731
EOdd1,0.006795984823239731,0.006795984823239731
PQD,0.973462910962911,0.973462910962911
PQD(class),0.973462910962911,0.973462910962911
EPPV,0.8938322164308761,0.8938322164308761
ENPV,0.9914320685434516,0.9914320685434516
DPM(Positive),0.7902128041662926,0.7902128041662926
DPM(Negative),0.8834829443447038,0.8834829443447038
EOM(Positive),0.9721568627450979,0.9721568627450979
EOM(Negative),0.9665190552871713,0.9665190552871713
OverAllAcc,0.9399509803921569,0.9399509803921569
TOTALACC,0.9227799227799228,0.947935368043088
TOTALACCDIF,0.025155445263165155,0.025155445263165155
ACCDIF,0.025155445263165155,0.025155445263165155
