,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,ASPM,3,3,91,3.3%,"No
"
1,SLC44A3,1,1,91,1.1%,"No
"
2,FOXC2,1,1,91,1.1%,"No
"
3,CELF1,1,1,91,1.1%,"No
"
4,SULT1C3,1,1,91,1.1%,"No
"
5,GALNT10,1,1,91,1.1%,"No
"
6,VASN,1,1,91,1.1%,"No
"
7,DNAH3,3,3,91,3.3%,"No
"
8,LAMA1,5,5,91,5.5%,"No
"
9,KRTAP1-3,1,1,91,1.1%,"No
"
10,RALGAPA1,2,2,91,2.2%,"No
"
11,INPP4A,1,1,91,1.1%,"Yes
"
12,INPP5B,1,1,91,1.1%,"No
"
13,SPINT2,1,1,91,1.1%,"No
"
14,INPP5D,1,1,91,1.1%,"Yes
"
15,OGG1,1,1,91,1.1%,"No
"
16,SVOPL,1,1,91,1.1%,"No
"
17,PDX1,1,1,91,1.1%,"No
"
18,SERPINA12,1,1,91,1.1%,"No
"
19,FLNB,1,1,91,1.1%,"No
"
20,A1BG,1,1,91,1.1%,"No
"
21,FLNA,3,3,91,3.3%,"No
"
22,FARS2,1,1,91,1.1%,"No
"
23,FLI1,1,1,91,1.1%,"Yes
"
24,FLG,6,5,91,5.5%,"No
"
25,STAB2,2,2,91,2.2%,"No
"
26,INSR,1,1,91,1.1%,"Yes
"
27,OMG,1,1,91,1.1%,"No
"
28,KLF1,1,1,91,1.1%,"No
"
29,RFX8,1,1,91,1.1%,"No
"
30,INSRR,1,1,91,1.1%,"No
"
31,OPA1,1,1,91,1.1%,"No
"
32,FLNC,1,1,91,1.1%,"No
"
33,IRF2,2,2,91,2.2%,"Yes
"
34,IRF3,1,1,91,1.1%,"No
"
35,IRF4,1,1,91,1.1%,"Yes
"
36,CDH2,3,2,91,2.2%,"No
"
37,GPR141,1,1,91,1.1%,"No
"
38,KIF27,2,2,91,2.2%,"No
"
39,RNFT2,2,2,91,2.2%,"No
"
40,FMO2,1,1,91,1.1%,"No
"
41,FMO1,1,1,91,1.1%,"No
"
42,CHRNA9,2,2,91,2.2%,"No
"
43,NFATC2IP,1,1,91,1.1%,"No
"
44,FLT4,3,3,91,3.3%,"Yes
"
45,KRTAP4-6,1,1,91,1.1%,"No
"
46,TMEM132D,3,3,91,3.3%,"No
"
47,ILDR2,2,2,91,2.2%,"No
"
48,IPP,1,1,91,1.1%,"No
"
49,ITGA6,1,1,91,1.1%,"No
"
50,IRAK2,1,1,91,1.1%,"No
"
51,OPRL1,1,1,91,1.1%,"No
"
52,POSTN,1,1,91,1.1%,"No
"
53,ZFP62,1,1,91,1.1%,"No
"
54,IREB2,1,1,91,1.1%,"No
"
55,ISL1,2,2,91,2.2%,"No
"
56,ISLR,1,1,91,1.1%,"No
"
57,ITGA2,1,1,91,1.1%,"No
"
58,CDH12,3,2,91,2.2%,"No
"
59,ZNF233,1,1,91,1.1%,"No
"
60,OTUD5,1,1,91,1.1%,"No
"
61,MED25,1,1,91,1.1%,"No
"
62,ZCCHC8,1,1,91,1.1%,"No
"
63,CDH8,2,2,91,2.2%,"No
"
64,CDH7,3,2,91,2.2%,"No
"
65,FN1,1,1,91,1.1%,"No
"
66,CDH5,1,1,91,1.1%,"No
"
67,AFF2,2,2,91,2.2%,"No
"
68,CDH4,4,4,91,4.4%,"No
"
69,CDH3,1,1,91,1.1%,"No
"
70,IRF5,1,1,91,1.1%,"No
"
71,IRF6,1,1,91,1.1%,"No
"
72,LRGUK,2,2,91,2.2%,"No
"
73,IGF2BP1,2,2,91,2.2%,"No
"
74,YTHDF3,2,2,91,2.2%,"No
"
75,FMR1NB,1,1,91,1.1%,"No
"
76,ITGA9,1,1,91,1.1%,"No
"
77,ITGAE,1,1,91,1.1%,"No
"
78,ITGAL,1,1,91,1.1%,"No
"
79,TMEM270,1,1,91,1.1%,"No
"
80,ITGAM,1,1,91,1.1%,"No
"
81,GPRIN3,1,1,91,1.1%,"No
"
82,P3H4,1,1,91,1.1%,"No
"
83,ZNF785,2,2,91,2.2%,"No
"
84,TTC13,1,1,91,1.1%,"No
"
85,SPTA1,9,4,91,4.4%,"No
"
86,FIZ1,1,1,91,1.1%,"No
"
87,CDC73,2,2,91,2.2%,"Yes
"
88,CDH18,2,2,91,2.2%,"No
"
89,SPTAN1,2,2,91,2.2%,"No
"
90,NKAP,1,1,91,1.1%,"No
"
91,STAMBP,1,1,91,1.1%,"No
"
92,CDH16,3,2,91,2.2%,"No
"
93,ALG10,1,1,91,1.1%,"No
"
94,TGOLN2,1,1,91,1.1%,"No
"
95,ITGA2B,1,1,91,1.1%,"No
"
96,SPRR2A,1,1,91,1.1%,"No
"
97,ITGA3,2,2,91,2.2%,"No
"
98,ITGA4,2,1,91,1.1%,"No
"
99,QTRT1,1,1,91,1.1%,"No
"
100,SPRR2D,1,1,91,1.1%,"No
"
101,SPRR2G,1,1,91,1.1%,"No
"
102,PDLIM5,2,2,91,2.2%,"No
"
103,ITGB4,1,1,91,1.1%,"No
"
104,ITGB6,1,1,91,1.1%,"No
"
105,OR6C1,2,1,91,1.1%,"No
"
106,AOPEP,1,1,91,1.1%,"No
"
107,FRYL,1,1,91,1.1%,"No
"
108,ZNF382,1,1,91,1.1%,"No
"
109,CDKN2A,1,1,91,1.1%,"Yes
"
110,AKR1D1,1,1,91,1.1%,"No
"
111,POLR3C,1,1,91,1.1%,"No
"
112,FPR2,1,1,91,1.1%,"No
"
113,ZNF688,1,1,91,1.1%,"No
"
114,FPR1,1,1,91,1.1%,"No
"
115,TXNIP,1,1,91,1.1%,"No
"
116,FPGS,1,1,91,1.1%,"No
"
117,RIPOR1,2,1,91,1.1%,"No
"
118,CDK8,1,1,91,1.1%,"Yes
"
119,FOSL2,1,1,91,1.1%,"No
"
120,SPTB,3,2,91,2.2%,"No
"
121,ITGAX,1,1,91,1.1%,"No
"
122,SQLE,2,2,91,2.2%,"No
"
123,SPTBN2,3,3,91,3.3%,"No
"
124,BOD1L1,1,1,91,1.1%,"No
"
