,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,STPG2,2,2,410,0.5%,"No
"
1,INSL3,1,1,410,0.2%,"No
"
2,KRT6C,7,6,410,1.5%,"No
"
3,ASPM,29,22,410,5.4%,"No
"
4,FOXD2,3,3,410,0.7%,"No
"
5,INSIG1,5,5,410,1.2%,"No
"
6,OGN,5,4,410,1.0%,"No
"
7,FOXM1,10,10,410,2.4%,"No
"
8,FOXE1,9,9,410,2.2%,"No
"
9,FOXC2,2,2,410,0.5%,"No
"
10,FOXE3,1,1,410,0.2%,"No
"
11,LAMA1,32,29,410,7.1%,"No
"
12,FOXL1,1,1,410,0.2%,"No
"
13,INPP4A,3,3,410,0.7%,"Yes
"
14,INPP5A,5,5,410,1.2%,"No
"
15,INPP5B,5,5,410,1.2%,"No
"
16,FOXO3,5,2,410,0.5%,"Yes
"
17,INPP5D,6,6,410,1.5%,"Yes
"
18,FOXO1,2,2,410,0.5%,"Yes
"
19,INPPL1,11,10,410,2.4%,"Yes
"
20,OGDH,20,18,410,4.4%,"No
"
21,FOXS1,5,5,410,1.2%,"No
"
22,OGG1,4,4,410,1.0%,"No
"
23,PDX1,2,2,410,0.5%,"No
"
24,TNFRSF11B,2,2,410,0.5%,"No
"
25,FLNB,26,24,410,5.9%,"No
"
26,A1BG,4,4,410,1.0%,"No
"
27,FLNA,14,13,410,3.2%,"No
"
28,A2M,15,15,410,3.7%,"No
"
29,MLANA,1,1,410,0.2%,"No
"
30,FLII,7,6,410,1.5%,"No
"
31,FLI1,6,6,410,1.5%,"Yes
"
32,METRNL,1,1,410,0.2%,"No
"
33,FLG,76,68,410,16.6%,"No
"
34,INSL4,4,4,410,1.0%,"No
"
35,NAT1,3,3,410,0.7%,"No
"
36,INSM1,3,3,410,0.7%,"No
"
37,OLR1,1,1,410,0.2%,"No
"
38,INSR,10,10,410,2.4%,"Yes
"
39,OMG,3,3,410,0.7%,"No
"
40,OMP,3,3,410,0.7%,"No
"
41,INSRR,10,10,410,2.4%,"No
"
42,OPA1,16,13,410,3.2%,"No
"
43,EIF3E,5,5,410,1.2%,"Yes
"
44,FLOT2,5,5,410,1.2%,"No
"
45,OPCML,9,9,410,2.2%,"No
"
46,FLNC,21,20,410,4.9%,"No
"
47,IRF2,7,7,410,1.7%,"Yes
"
48,OR1D2,2,2,410,0.5%,"No
"
49,IRF3,5,5,410,1.2%,"No
"
50,OR1F1,2,2,410,0.5%,"No
"
51,IRF4,11,11,410,2.7%,"Yes
"
52,OR2C1,3,3,410,0.7%,"No
"
53,CDH2,15,15,410,3.7%,"No
"
54,FMOD,3,3,410,0.7%,"No
"
55,FMO5,6,5,410,1.2%,"No
"
56,FMO3,12,12,410,2.9%,"No
"
57,FMO2,7,7,410,1.7%,"No
"
58,FMO1,2,2,410,0.5%,"No
"
59,FLT4,12,12,410,2.9%,"Yes
"
60,FLT3LG,1,1,410,0.2%,"No
"
61,FLT3,10,9,410,2.2%,"Yes
"
62,FLT1,9,8,410,2.0%,"Yes
"
63,IPP,4,4,410,1.0%,"No
"
64,OPHN1,8,8,410,2.0%,"No
"
65,IRAK1,3,3,410,0.7%,"No
"
66,OPRD1,5,5,410,1.2%,"No
"
67,ITGA6,8,8,410,2.0%,"No
"
68,OPRK1,4,4,410,1.0%,"No
"
69,IRAK2,6,6,410,1.5%,"No
"
70,OPRL1,2,2,410,0.5%,"No
"
71,IREB2,12,11,410,2.7%,"No
"
72,FMO4,11,9,410,2.2%,"No
"
73,IRF1,2,2,410,0.5%,"Yes
"
74,ISL1,3,3,410,0.7%,"No
"
75,ISLR,1,1,410,0.2%,"No
"
76,ITGA1,8,8,410,2.0%,"No
"
77,ITGA2,7,7,410,1.7%,"No
"
78,CDH12,15,14,410,3.4%,"No
"
79,CDH10,20,18,410,4.4%,"No
"
80,FNTA,1,1,410,0.2%,"No
"
81,CDH9,9,9,410,2.2%,"No
"
82,CDH8,18,17,410,4.1%,"No
"
83,CDH7,13,13,410,3.2%,"No
"
84,CDH6,14,13,410,3.2%,"No
"
85,FN1,24,22,410,5.4%,"No
"
86,CDH5,13,11,410,2.7%,"No
"
87,AFF2,16,16,410,3.9%,"No
"
88,CDH4,20,19,410,4.6%,"No
"
89,MRGPRX1,7,7,410,1.7%,"No
"
90,CDH3,7,7,410,1.7%,"No
"
91,FMR1,1,1,410,0.2%,"No
"
92,IRF5,5,5,410,1.2%,"No
"
93,OR3A1,2,2,410,0.5%,"No
"
94,IRF6,5,4,410,1.0%,"No
"
95,OR3A2,3,3,410,0.7%,"No
"
96,IRF7,4,4,410,1.0%,"No
"
97,IRS1,8,8,410,2.0%,"Yes
"
98,ORC1,5,5,410,1.2%,"No
"
99,ORC2,1,1,410,0.2%,"No
"
100,SH3PXD2B,6,6,410,1.5%,"No
"
101,ISG20,2,2,410,0.5%,"No
"
102,CDH11,15,14,410,3.4%,"Yes
"
103,NSUN5P2,2,2,410,0.5%,"No
"
104,CYP4X1,8,6,410,1.5%,"No
"
105,ITGA9,11,11,410,2.7%,"No
"
106,ITGAD,4,4,410,1.0%,"No
"
107,ITGAE,11,9,410,2.2%,"No
"
108,ITGAL,18,18,410,4.4%,"No
"
109,ITGAM,14,14,410,3.4%,"No
"
110,SLX4IP,11,10,410,2.4%,"No
"
111,CDK7,7,6,410,1.5%,"No
"
112,FOS,4,4,410,1.0%,"No
"
113,GPRIN3,5,5,410,1.2%,"No
"
114,CDK6,5,5,410,1.2%,"Yes
"
115,FOLR3,5,5,410,1.2%,"No
"
116,CDK5,2,2,410,0.5%,"No
"
117,FOLR2,1,1,410,0.2%,"No
"
118,CDK4,5,4,410,1.0%,"Yes
"
119,CDK3,5,5,410,1.2%,"No
"
120,CDK2,1,1,410,0.2%,"No
"
121,CDH18,16,14,410,3.4%,"No
"
122,CDH17,14,13,410,3.2%,"No
"
