,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,FAM200B,4,4,291,1.4%,"No
"
1,STPG2,2,2,291,0.7%,"No
"
2,INSL3,1,1,291,0.3%,"No
"
3,KRT6C,1,1,291,0.3%,"No
"
4,ASPM,17,15,291,5.2%,"No
"
5,FOXD2,2,2,291,0.7%,"No
"
6,INSIG1,2,2,291,0.7%,"No
"
7,OGN,5,5,291,1.7%,"No
"
8,FOXM1,7,6,291,2.1%,"No
"
9,FOXE1,3,3,291,1.0%,"No
"
10,FOXC2,2,2,291,0.7%,"No
"
11,LAMA1,14,14,291,4.8%,"No
"
12,FOXL1,1,1,291,0.3%,"No
"
13,INPP4A,5,5,291,1.7%,"Yes
"
14,INPP5A,2,2,291,0.7%,"No
"
15,INPP5B,2,2,291,0.7%,"No
"
16,FOXO3,5,4,291,1.4%,"Yes
"
17,INPP5D,8,6,291,2.1%,"Yes
"
18,FOXO1,2,2,291,0.7%,"Yes
"
19,INPPL1,7,4,291,1.4%,"Yes
"
20,OGDH,8,5,291,1.7%,"No
"
21,FOXS1,1,1,291,0.3%,"No
"
22,OGG1,1,1,291,0.3%,"No
"
23,PDX1,1,1,291,0.3%,"No
"
24,TNFRSF11B,4,4,291,1.4%,"No
"
25,FLNB,11,8,291,2.7%,"No
"
26,A1BG,1,1,291,0.3%,"No
"
27,FLNA,23,18,291,6.2%,"No
"
28,A2M,5,5,291,1.7%,"No
"
29,MLANA,1,1,291,0.3%,"No
"
30,FLII,8,6,291,2.1%,"No
"
31,FLI1,2,2,291,0.7%,"Yes
"
32,METRNL,2,1,291,0.3%,"No
"
33,FLG,52,38,291,13.1%,"No
"
34,NAT1,1,1,291,0.3%,"No
"
35,INSM1,2,2,291,0.7%,"No
"
36,INSR,8,8,291,2.7%,"Yes
"
37,OMG,4,3,291,1.0%,"No
"
38,OMP,1,1,291,0.3%,"No
"
39,INSRR,5,5,291,1.7%,"No
"
40,OPA1,6,5,291,1.7%,"No
"
41,EIF3E,4,4,291,1.4%,"Yes
"
42,FLOT2,3,3,291,1.0%,"No
"
43,OPCML,4,4,291,1.4%,"No
"
44,FLNC,16,12,291,4.1%,"No
"
45,SIX6,1,1,291,0.3%,"No
"
46,IRF2,2,2,291,0.7%,"Yes
"
47,IRF3,1,1,291,0.3%,"No
"
48,OR1F1,1,1,291,0.3%,"No
"
49,IRF4,7,6,291,2.1%,"Yes
"
