,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,RBMXL3,1,1,36,2.8%,"No
"
1,BOC,1,1,36,2.8%,"No
"
2,KRTAP12-2,1,1,36,2.8%,"No
"
3,RNF146,1,1,36,2.8%,"No
"
4,SPRY4,1,1,36,2.8%,"No
"
5,PVR,1,1,36,2.8%,"No
"
6,CDC42BPG,1,1,36,2.8%,"No
"
7,LAMA1,2,2,36,5.6%,"No
"
8,ZNF821,1,1,36,2.8%,"No
"
9,CEP95,1,1,36,2.8%,"No
"
10,BTBD8,1,1,36,2.8%,"No
"
11,TDRD12,1,1,36,2.8%,"No
"
12,INPP5D,1,1,36,2.8%,"Yes
"
13,KCNH8,1,1,36,2.8%,"No
"
14,INPPL1,1,1,36,2.8%,"Yes
"
15,ZDHHC21,1,1,36,2.8%,"No
"
16,FLNA,1,1,36,2.8%,"No
"
17,A2M,1,1,36,2.8%,"No
"
18,FLII,1,1,36,2.8%,"No
"
19,FLI1,1,1,36,2.8%,"Yes
"
20,SUPT20H,2,2,36,5.6%,"No
"
21,B4GALNT3,1,1,36,2.8%,"No
"
22,PAQR9,1,1,36,2.8%,"No
"
23,STAB2,1,1,36,2.8%,"No
"
24,CACNG5,1,1,36,2.8%,"No
"
25,CTCF,1,1,36,2.8%,"Yes
"
26,SCUBE2,1,1,36,2.8%,"No
"
27,TRPM6,1,1,36,2.8%,"No
"
28,TSBP1,1,1,36,2.8%,"No
"
29,CDH2,1,1,36,2.8%,"No
"
30,GPATCH2,1,1,36,2.8%,"No
"
31,WFDC11,1,1,36,2.8%,"No
"
32,FLT3,1,1,36,2.8%,"Yes
"
33,TMEM132D,2,2,36,5.6%,"No
"
34,OPRD1,1,1,36,2.8%,"No
"
35,ANO1,1,1,36,2.8%,"No
"
36,ZFP62,1,1,36,2.8%,"No
"
37,PYGM,1,1,36,2.8%,"No
"
38,SPRED1,2,1,36,2.8%,"Yes
"
39,CMBL,1,1,36,2.8%,"No
"
40,H2BW2,1,1,36,2.8%,"No
"
41,CDH12,1,1,36,2.8%,"No
"
42,ZNF233,1,1,36,2.8%,"No
"
43,OTUD5,1,1,36,2.8%,"No
"
44,BRINP3,1,1,36,2.8%,"No
"
45,ZCCHC8,1,1,36,2.8%,"No
"
46,CDH7,1,1,36,2.8%,"No
"
47,CDH5,1,1,36,2.8%,"No
"
48,TMEM39B,1,1,36,2.8%,"No
"
49,RNPC3,1,1,36,2.8%,"No
"
50,SPATA31D1,1,1,36,2.8%,"No
"
51,ADAMTS16,1,1,36,2.8%,"No
"
52,IRF6,2,1,36,2.8%,"No
"
53,IRS1,2,2,36,5.6%,"Yes
"
54,VPS41,1,1,36,2.8%,"No
"
55,ADAMTS18,1,1,36,2.8%,"No
"
56,RFESD,1,1,36,2.8%,"No
"
57,ATP13A3,3,2,36,5.6%,"No
"
58,SPTA1,1,1,36,2.8%,"No
"
59,SND1,1,1,36,2.8%,"Yes
"
60,CDK2,1,1,36,2.8%,"No
"
61,SPTAN1,1,1,36,2.8%,"No
"
62,TTC8,1,1,36,2.8%,"No
"
63,CDH13,2,2,36,5.6%,"No
"
64,CTNNA2,2,2,36,5.6%,"No
"
65,ITGB4,2,1,36,2.8%,"No
"
66,RAB6A,1,1,36,2.8%,"No
"
67,DEFB105A,1,1,36,2.8%,"No
"
68,ODAD2,1,1,36,2.8%,"No
"
69,GATAD1,1,1,36,2.8%,"No
"
70,CDKN2A,2,2,36,5.6%,"Yes
"
71,POLR3C,1,1,36,2.8%,"No
"
72,FPR1,1,1,36,2.8%,"No
"
