,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,FAM200B,19,15,534,2.8%,"No
"
1,STPG2,19,16,534,3.0%,"No
"
2,INSL3,3,3,534,0.6%,"No
"
3,KRT6C,16,16,534,3.0%,"No
"
4,ASPM,74,49,534,9.2%,"No
"
5,FOXD2,6,5,534,0.9%,"No
"
6,INSIG1,3,3,534,0.6%,"No
"
7,OGN,6,5,534,0.9%,"No
"
8,FOXM1,11,9,534,1.7%,"No
"
9,FOXE1,7,7,534,1.3%,"No
"
10,FOXC2,5,5,534,0.9%,"No
"
11,FOXJ1,6,6,534,1.1%,"No
"
12,FOXE3,3,3,534,0.6%,"No
"
13,LAMA1,78,52,534,9.7%,"No
"
14,FOXL1,10,9,534,1.7%,"No
"
15,INS,1,1,534,0.2%,"No
"
16,INPP4A,19,18,534,3.4%,"Yes
"
17,INPP5A,9,8,534,1.5%,"No
"
18,INPP5B,13,10,534,1.9%,"No
"
19,FOXO3,10,9,534,1.7%,"Yes
"
20,INPP5D,24,20,534,3.7%,"Yes
"
21,FOXO1,9,8,534,1.5%,"Yes
"
22,INPPL1,20,20,534,3.7%,"Yes
"
23,OGDH,18,17,534,3.2%,"No
"
24,FOXS1,9,9,534,1.7%,"No
"
25,OGG1,4,4,534,0.7%,"No
"
26,PDX1,3,3,534,0.6%,"No
"
27,TNFRSF11B,9,9,534,1.7%,"No
"
28,FLNB,48,37,534,6.9%,"No
"
29,A1BG,10,9,534,1.7%,"No
"
30,FLNA,47,36,534,6.7%,"No
"
31,A2M,38,30,534,5.6%,"No
"
32,MLANA,5,5,534,0.9%,"No
"
33,FLII,20,15,534,2.8%,"No
"
34,FLI1,11,11,534,2.1%,"Yes
"
35,METRNL,7,7,534,1.3%,"No
"
36,FLG,134,94,534,17.6%,"No
"
37,INSL4,1,1,534,0.2%,"No
"
38,NAT1,2,2,534,0.4%,"No
"
39,INSM1,1,1,534,0.2%,"No
"
40,OLR1,8,7,534,1.3%,"No
"
41,INSR,17,17,534,3.2%,"Yes
"
42,OMG,5,3,534,0.6%,"No
"
43,OMP,4,4,534,0.7%,"No
"
44,INSRR,33,26,534,4.9%,"No
"
45,OPA1,15,11,534,2.1%,"No
"
46,EIF3E,9,9,534,1.7%,"Yes
"
47,FLOT2,6,6,534,1.1%,"No
"
48,OPCML,22,22,534,4.1%,"No
"
49,FLNC,54,42,534,7.9%,"No
"
50,SIX6,5,5,534,0.9%,"No
"
51,IRF2,13,12,534,2.2%,"Yes
"
52,OR1D2,4,4,534,0.7%,"No
"
53,IRF3,4,4,534,0.7%,"No
"
54,OR1F1,7,6,534,1.1%,"No
"
55,IRF4,20,18,534,3.4%,"Yes
"
56,OR2C1,5,5,534,0.9%,"No
"
57,CDH2,46,31,534,5.8%,"No
"
