,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,STPG2,1,1,41,2.4%,"No
"
1,ASPM,3,3,41,7.3%,"No
"
2,CDC42BPG,1,1,41,2.4%,"No
"
3,DNAH3,1,1,41,2.4%,"No
"
4,OR10AD1,1,1,41,2.4%,"No
"
5,LAMA1,2,2,41,4.9%,"No
"
6,INPP5B,1,1,41,2.4%,"No
"
7,PRELID3A,1,1,41,2.4%,"No
"
8,FOXO1,1,1,41,2.4%,"Yes
"
9,FOXS1,1,1,41,2.4%,"No
"
10,OGG1,1,1,41,2.4%,"No
"
11,CRACDL,1,1,41,2.4%,"No
"
12,VANGL1,1,1,41,2.4%,"No
"
13,FLNA,1,1,41,2.4%,"No
"
14,A2M,1,1,41,2.4%,"No
"
15,FLG,4,4,41,9.8%,"No
"
16,STAB2,3,3,41,7.3%,"No
"
17,CTCF,1,1,41,2.4%,"Yes
"
18,EIF3E,1,1,41,2.4%,"Yes
"
19,OPCML,1,1,41,2.4%,"No
"
20,FLNC,4,4,41,9.8%,"No
"
21,SPECC1,1,1,41,2.4%,"No
"
22,SIX6,1,1,41,2.4%,"No
"
23,IRF2,1,1,41,2.4%,"Yes
"
24,OR1D2,1,1,41,2.4%,"No
"
25,FBXW10B,1,1,41,2.4%,"No
"
26,IRF4,9,6,41,14.6%,"Yes
"
27,CDH2,2,2,41,4.9%,"No
"
28,WFDC9,1,1,41,2.4%,"No
"
29,RAD51AP1,1,1,41,2.4%,"No
"
30,FMO2,1,1,41,2.4%,"No
"
31,ISG20L2,1,1,41,2.4%,"No
"
32,RGS14,1,1,41,2.4%,"No
"
33,NFATC2IP,1,1,41,2.4%,"No
"
34,KRTAP4-6,1,1,41,2.4%,"No
"
35,WFDC11,1,1,41,2.4%,"No
"
36,MED29,1,1,41,2.4%,"No
"
37,FLT1,2,2,41,4.9%,"Yes
"
38,ITGA6,1,1,41,2.4%,"No
"
39,OPRK1,1,1,41,2.4%,"No
"
40,IRAK2,1,1,41,2.4%,"No
"
41,POSTN,1,1,41,2.4%,"No
"
42,OPRM1,1,1,41,2.4%,"No
"
43,RASL10A,1,1,41,2.4%,"No
"
44,IRF1,1,1,41,2.4%,"Yes
"
45,ISLR,1,1,41,2.4%,"No
"
46,ITGA2,1,1,41,2.4%,"No
"
47,FNTB,1,1,41,2.4%,"No
"
48,ZNF233,1,1,41,2.4%,"No
"
49,ZCCHC8,2,2,41,4.9%,"No
"
50,CDH8,1,1,41,2.4%,"No
"
51,CDH7,1,1,41,2.4%,"No
"
52,FN1,1,1,41,2.4%,"No
"
53,AFF2,2,2,41,4.9%,"No
"
54,CDH4,2,2,41,4.9%,"No
"
55,OR3A1,1,1,41,2.4%,"No
"
56,LRGUK,1,1,41,2.4%,"No
"
57,ORC1,1,1,41,2.4%,"No
"
58,CDH11,2,2,41,4.9%,"Yes
"
59,PPP1R27,1,1,41,2.4%,"No
"
60,P3H4,1,1,41,2.4%,"No
"
61,ZNF785,1,1,41,2.4%,"No
"
62,TTC13,1,1,41,2.4%,"No
"
63,SPTA1,1,1,41,2.4%,"No
"
64,SPAG5,3,3,41,7.3%,"No
"
65,CDH18,2,2,41,4.9%,"No
"
66,FAM104A,1,1,41,2.4%,"No
"
67,CDH15,1,1,41,2.4%,"No
"
68,ALG10,1,1,41,2.4%,"No
"
69,CDH13,1,1,41,2.4%,"No
"
70,ITGA3,1,1,41,2.4%,"No
"
71,ITGA4,1,1,41,2.4%,"No
"
72,ITGA5,1,1,41,2.4%,"No
"
73,PDLIM5,1,1,41,2.4%,"No
"
74,ITGB3,1,1,41,2.4%,"No
"
75,ITGB4,1,1,41,2.4%,"No
"
76,ITGB5,1,1,41,2.4%,"No
"
77,YIPF7,1,1,41,2.4%,"No
"
78,OR6C75,1,1,41,2.4%,"No
"
79,ZNF366,1,1,41,2.4%,"No
"
80,PRSS36,1,1,41,2.4%,"No
"
81,SPTB,1,1,41,2.4%,"No
"
82,SRP72,1,1,41,2.4%,"No
"
83,ST8SIA6,1,1,41,2.4%,"No
"
84,SAP130,1,1,41,2.4%,"No
"
85,C18ORF21,1,1,41,2.4%,"No
"
86,TAS2R39,1,1,41,2.4%,"No
"
87,ATG4C,2,2,41,4.9%,"No
"
88,INTS1,1,1,41,2.4%,"No
"
89,KAT14,2,1,41,2.4%,"No
"
90,MAEL,1,1,41,2.4%,"No
"
91,OBI1,1,1,41,2.4%,"No
"
92,C5ORF46,1,1,41,2.4%,"No
"
93,ITIH1,1,1,41,2.4%,"No
"
94,SRM,1,1,41,2.4%,"No
"
95,TAS2R19,1,1,41,2.4%,"No
"
96,TAS2R30,1,1,41,2.4%,"No
"
97,BICDL1,2,2,41,4.9%,"No
"
98,SPAG16,1,1,41,2.4%,"No
"
99,TMEM47,1,1,41,2.4%,"No
"
100,CARS2,3,1,41,2.4%,"No
"
101,RITA1,1,1,41,2.4%,"No
"
102,RNF128,1,1,41,2.4%,"No
"
103,ZNF286A,2,2,41,4.9%,"No
"
104,SRPRA,1,1,41,2.4%,"No
"
105,MALRD1,1,1,41,2.4%,"No
"
106,SSTR1,1,1,41,2.4%,"No
"
107,ACTR6,1,1,41,2.4%,"No
"
108,SSTR2,1,1,41,2.4%,"No
"
109,CES1,1,1,41,2.4%,"No
"
110,MEF2B,1,1,41,2.4%,"Yes
"
111,ZNF706,1,1,41,2.4%,"No
"
112,ITPRID2,1,1,41,2.4%,"No
"
113,SSR1,2,2,41,4.9%,"No
"
114,POLR2A,1,1,41,2.4%,"No
"
115,POLR2B,1,1,41,2.4%,"No
"
116,UHRF2,1,1,41,2.4%,"No
"
117,KIAA1549L,1,1,41,2.4%,"No
"
118,KCNK18,1,1,41,2.4%,"No
"
119,RTL1,1,1,41,2.4%,"No
"
120,SSTR4,2,1,41,2.4%,"No
"
121,OBSCN,2,2,41,4.9%,"No
"
122,CIT,1,1,41,2.4%,"No
"
123,ZC3HAV1,1,1,41,2.4%,"No
"
124,MAGEB10,1,1,41,2.4%,"No
"
125,OR6B3,2,2,41,4.9%,"No
"
126,TMEM201,3,3,41,7.3%,"No
"
127,SYDE1,1,1,41,2.4%,"No
"
128,MDGA2,2,2,41,4.9%,"No
"
129,STAT1,1,1,41,2.4%,"Yes
"
130,STAT4,1,1,41,2.4%,"Yes
"
131,STAT3,7,6,41,14.6%,"Yes
"
132,APRG1,1,1,41,2.4%,"No
"
133,UNC13C,2,2,41,4.9%,"No
"
134,C18ORF54,1,1,41,2.4%,"No
"
135,POLR2E,1,1,41,2.4%,"No
"
136,STAC,2,2,41,4.9%,"No
"
137,STAU1,1,1,41,2.4%,"No
"
138,POU2AF1,2,2,41,4.9%,"Yes
"
139,POU2F2,2,2,41,4.9%,"No
"
140,RNF40,1,1,41,2.4%,"No
"
141,SLC45A2,1,1,41,2.4%,"No
"
142,JPT1,1,1,41,2.4%,"No
"
143,ADGRV1,2,2,41,4.9%,"No
"
144,IGSF11,1,1,41,2.4%,"No
"
145,MRPL19,1,1,41,2.4%,"No
"
146,STAT6,6,4,41,9.8%,"Yes
"
147,SPHK2,1,1,41,2.4%,"No
"
148,MAP1A,1,1,41,2.4%,"No
"
149,MAP1B,2,2,41,4.9%,"No
"
150,RB1CC1,1,1,41,2.4%,"No
"
151,CSMD1,4,4,41,9.8%,"No
"
152,CUL7,1,1,41,2.4%,"No
"
153,EGFL7,1,1,41,2.4%,"Yes
"
154,CYB5R4,1,1,41,2.4%,"No
"
155,STK3,1,1,41,2.4%,"No
"
156,MAOB,2,2,41,4.9%,"No
"
157,TSC22D2,1,1,41,2.4%,"No
"
158,CORIN,1,1,41,2.4%,"No
"
159,PPEF1,1,1,41,2.4%,"No
"
160,PPFIA1,1,1,41,2.4%,"No
"
161,IZUMO2,1,1,41,2.4%,"No
"
162,KY,1,1,41,2.4%,"No
"
163,CRYBG1,2,2,41,4.9%,"No
"
164,KBTBD7,1,1,41,2.4%,"No
"
165,PPARG,1,1,41,2.4%,"Yes
"
166,AKT2,1,1,41,2.4%,"Yes
"
167,MARK1,1,1,41,2.4%,"No
"
168,ARHGAP11A,1,1,41,2.4%,"No
"
169,FSCB,2,2,41,4.9%,"No
"
170,MAZ,2,2,41,4.9%,"No
"
171,PPID,1,1,41,2.4%,"No
"
172,MBL2,1,1,41,2.4%,"No
"
173,HEPH,1,1,41,2.4%,"No
"
174,WDR53,1,1,41,2.4%,"No
"
175,HSPA14,1,1,41,2.4%,"No
"
176,GPN3,1,1,41,2.4%,"No
"
177,NETO1,1,1,41,2.4%,"No
"
178,RBM38,1,1,41,2.4%,"No
"
179,PODN,1,1,41,2.4%,"No
"
180,MATN2,1,1,41,2.4%,"No
"
181,PARG,1,1,41,2.4%,"No
"
182,LCMT2,1,1,41,2.4%,"No
"
183,FAM30A,2,1,41,2.4%,"No
"
184,GNA13,3,2,41,4.9%,"Yes
"
185,NAV1,1,1,41,2.4%,"No
"
186,SLC41A1,1,1,41,2.4%,"No
"
187,NAV3,2,2,41,4.9%,"No
"
188,ENC1,1,1,41,2.4%,"No
"
189,AVIL,2,2,41,4.9%,"No
"
190,SOWAHD,1,1,41,2.4%,"No
"
191,MCC,1,1,41,2.4%,"No
"
192,CHST6,1,1,41,2.4%,"No
"
193,MCF2,1,1,41,2.4%,"No
"
194,PPP1CA,1,1,41,2.4%,"No
"
195,PLCE1,3,3,41,7.3%,"No
"
196,ENOSF1,1,1,41,2.4%,"No
"
197,CCDC39,1,1,41,2.4%,"No
"
198,ALDOB,1,1,41,2.4%,"No
"
199,ITGA10,2,2,41,4.9%,"No
"
200,C11ORF86,1,1,41,2.4%,"No
"
201,RAB37,1,1,41,2.4%,"No
"
202,LRIG2,1,1,41,2.4%,"No
"
203,MCM7,1,1,41,2.4%,"No
"
204,TRIO,2,2,41,4.9%,"No
"
205,CPZ,1,1,41,2.4%,"No
"
206,MAGI2,3,3,41,7.3%,"No
"
207,COPS3,1,1,41,2.4%,"No
"
208,CNTRL,3,3,41,7.3%,"Yes
"
209,EPSTI1,1,1,41,2.4%,"No
"
210,TRIM71,1,1,41,2.4%,"No
"
211,PDS5B,1,1,41,2.4%,"Yes
"
212,MYT1L,1,1,41,2.4%,"No
"
213,MON2,1,1,41,2.4%,"No
"
214,DGKD,1,1,41,2.4%,"No
"
215,DGKZ,1,1,41,2.4%,"No
"
216,KIAA0319,1,1,41,2.4%,"No
"
217,SOX7,1,1,41,2.4%,"No
"
218,AP3B1,1,1,41,2.4%,"No
"
219,URB1,1,1,41,2.4%,"No
"
220,OR4C46,1,1,41,2.4%,"No
"
221,ALOX15B,1,1,41,2.4%,"No
"
222,TRIOBP,2,2,41,4.9%,"No
"
223,HSF2BP,1,1,41,2.4%,"No
"
224,S1PR3,1,1,41,2.4%,"No
"
225,TRPC1,1,1,41,2.4%,"No
"
226,TRPC3,1,1,41,2.4%,"No
"
227,TRANK1,2,2,41,4.9%,"No
"
228,TRPC5,1,1,41,2.4%,"No
"
229,B4GAT1,1,1,41,2.4%,"No
"
230,ME1,1,1,41,2.4%,"No
"
231,PIM2,1,1,41,2.4%,"No
"
232,TRPM2,3,3,41,7.3%,"No
"
233,MID2,1,1,41,2.4%,"No
"
234,TRPC6,1,1,41,2.4%,"No
"
235,RHOBTB1,1,1,41,2.4%,"No
"
