,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,OCLN,2,2,182,1.1%,"No
"
1,STPG2,1,1,182,0.5%,"No
"
2,KRT6C,2,2,182,1.1%,"No
"
3,ST6GALNAC5,2,2,182,1.1%,"No
"
4,ASPM,6,6,182,3.3%,"No
"
5,SPRY4,1,1,182,0.5%,"No
"
6,FOXD2,1,1,182,0.5%,"No
"
7,OGN,1,1,182,0.5%,"No
"
8,FOXM1,2,2,182,1.1%,"No
"
9,WRNIP1,1,1,182,0.5%,"No
"
10,TMEM14B,1,1,182,0.5%,"No
"
11,CDC42BPG,5,4,182,2.2%,"No
"
12,ANKS1B,2,2,182,1.1%,"No
"
13,SFXN3,1,1,182,0.5%,"No
"
14,FOXJ1,1,1,182,0.5%,"No
"
15,GALNT10,2,2,182,1.1%,"No
"
16,DNAH3,14,14,182,7.7%,"No
"
17,UBQLN4,1,1,182,0.5%,"No
"
18,LAMA1,22,17,182,9.3%,"No
"
19,KRTAP1-3,1,1,182,0.5%,"No
"
20,TPH2,1,1,182,0.5%,"No
"
21,INPP4A,3,3,182,1.6%,"Yes
"
22,INPP5B,1,1,182,0.5%,"No
"
23,FOXO3,2,2,182,1.1%,"Yes
"
24,INPP5D,1,1,182,0.5%,"Yes
"
25,FOXO1,2,2,182,1.1%,"Yes
"
26,INPPL1,4,4,182,2.2%,"Yes
"
27,OGDH,2,2,182,1.1%,"No
"
28,PDX1,1,1,182,0.5%,"No
"
29,VANGL1,2,2,182,1.1%,"No
"
30,SERPINA12,2,2,182,1.1%,"No
"
31,FLNB,3,3,182,1.6%,"No
"
32,FLNA,3,3,182,1.6%,"No
"
33,RHEBL1,1,1,182,0.5%,"No
"
34,A2M,5,5,182,2.7%,"No
"
35,FLII,1,1,182,0.5%,"No
"
36,TRIM56,2,1,182,0.5%,"No
"
37,FLI1,1,1,182,0.5%,"Yes
"
38,FLG,38,32,182,17.6%,"No
"
39,SUPT20H,1,1,182,0.5%,"No
"
40,STAB2,5,5,182,2.7%,"No
"
41,INSR,5,5,182,2.7%,"Yes
"
42,OMP,2,2,182,1.1%,"No
"
43,INSRR,1,1,182,0.5%,"No
"
44,OPA1,4,4,182,2.2%,"No
"
45,EIF3E,2,2,182,1.1%,"Yes
"
46,FLOT2,4,4,182,2.2%,"No
"
47,OPCML,4,4,182,2.2%,"No
"
48,FLNC,6,6,182,3.3%,"No
"
49,SPECC1,2,2,182,1.1%,"No
"
50,SIX6,2,2,182,1.1%,"No
"
51,FBXW10B,1,1,182,0.5%,"No
"
52,IRF4,5,5,182,2.7%,"Yes
"
53,OR2C1,1,1,182,0.5%,"No
"
54,CDH2,7,6,182,3.3%,"No
"
55,FMOD,2,2,182,1.1%,"No
"
56,FMO5,1,1,182,0.5%,"No
"
57,KIF27,3,3,182,1.6%,"No
"
58,WFDC9,2,2,182,1.1%,"No
"
59,FMO3,1,1,182,0.5%,"No
"
60,MIOX,2,2,182,1.1%,"No
"
61,ISG20L2,1,1,182,0.5%,"No
"
62,FLT4,3,2,182,1.1%,"Yes
"
63,KRTAP9-9,3,2,182,1.1%,"No
"
64,FLT3LG,1,1,182,0.5%,"No
"
65,BMP2K,1,1,182,0.5%,"No
"
66,KRTAP4-6,2,2,182,1.1%,"No
"
67,FLT3,8,8,182,4.4%,"Yes
"
68,TMEM132D,10,9,182,4.9%,"No
"
69,FLT1,5,5,182,2.7%,"Yes
"
70,ILDR2,1,1,182,0.5%,"No
"
71,IPP,3,3,182,1.6%,"No
"
72,IRAK1,2,2,182,1.1%,"No
"
73,OPRD1,1,1,182,0.5%,"No
"
74,ITGA6,3,3,182,1.6%,"No
"
75,OPRK1,1,1,182,0.5%,"No
"
76,OPRL1,4,4,182,2.2%,"No
"
77,OPRM1,2,2,182,1.1%,"No
"
78,IREB2,4,4,182,2.2%,"No
"
79,FMO4,3,3,182,1.6%,"No
"
80,ISL1,1,1,182,0.5%,"No
"
81,ISLR,2,2,182,1.1%,"No
"
82,ITGA2,4,4,182,2.2%,"No
"
83,FNTB,1,1,182,0.5%,"No
"
84,CDH12,9,9,182,4.9%,"No
"
85,MIPOL1,1,1,182,0.5%,"No
"
86,ZNF611,1,1,182,0.5%,"No
"
87,MED25,3,3,182,1.6%,"No
"
88,SHARPIN,1,1,182,0.5%,"No
"
89,CDH10,8,7,182,3.8%,"No
"
90,FNTA,3,2,182,1.1%,"No
"
91,CDH9,9,8,182,4.4%,"No
"
92,ZCCHC8,2,2,182,1.1%,"No
"
93,OR2A4,2,2,182,1.1%,"No
"
94,CDH8,3,3,182,1.6%,"No
"
95,OR4K1,4,4,182,2.2%,"No
"
96,CDH7,9,9,182,4.9%,"No
"
97,CDH6,6,6,182,3.3%,"No
"
98,FN1,2,2,182,1.1%,"No
"
99,CDH5,2,2,182,1.1%,"No
"
100,AFF2,7,7,182,3.8%,"No
"
101,CDH4,5,4,182,2.2%,"No
"
102,RNPC3,4,4,182,2.2%,"No
"
103,MRGPRX1,2,2,182,1.1%,"No
"
104,CDH3,1,1,182,0.5%,"No
"
105,FMR1,2,2,182,1.1%,"No
"
106,IRF5,1,1,182,0.5%,"No
"
107,IRS1,4,3,182,1.6%,"Yes
"
108,ZXDB,2,2,182,1.1%,"No
"
109,SH3PXD2B,1,1,182,0.5%,"No
"
110,ISG20,2,2,182,1.1%,"No
"
111,CDH11,15,13,182,7.1%,"Yes
"
112,FAAH2,1,1,182,0.5%,"No
"
113,CYP4X1,1,1,182,0.5%,"No
"
114,FMR1NB,2,2,182,1.1%,"No
"
115,ITGA9,2,2,182,1.1%,"No
"
116,ITGAD,4,4,182,2.2%,"No
"
117,ITGAE,1,1,182,0.5%,"No
"
118,C5ORF24,1,1,182,0.5%,"No
"
119,ITGAL,1,1,182,0.5%,"No
"
120,ITGAM,3,3,182,1.6%,"No
"
121,SLX4IP,1,1,182,0.5%,"No
"
122,FOS,1,1,182,0.5%,"No
"
123,GPRIN3,2,2,182,1.1%,"No
"
124,FOLR3,2,2,182,1.1%,"No
"
125,FOLR2,1,1,182,0.5%,"No
"
126,KASH5,3,3,182,1.6%,"No
"
127,FAHD1,1,1,182,0.5%,"No
"
128,TTC13,1,1,182,0.5%,"No
"
129,ATP13A3,3,3,182,1.6%,"No
"
130,ABHD8,2,2,182,1.1%,"No
"
131,CDK2,1,1,182,0.5%,"No
"
132,FOLR1,1,1,182,0.5%,"No
"
133,CDH18,5,5,182,2.7%,"No
"
134,NKAP,1,1,182,0.5%,"No
"
135,CDH17,3,3,182,1.6%,"No
"
136,FOLH1,7,6,182,3.3%,"No
"
137,CDH13,2,2,182,1.1%,"No
"
138,ITGA2B,1,1,182,0.5%,"No
"
139,ITGA3,2,2,182,1.1%,"No
"
140,ITGA4,3,3,182,1.6%,"No
"
141,QTRT1,2,2,182,1.1%,"No
"
142,TRIM50,2,2,182,1.1%,"No
"
143,ITGA5,1,1,182,0.5%,"No
"
144,ITGA7,1,1,182,0.5%,"No
"
145,KCTD1,1,1,182,0.5%,"No
"
146,ITGB3,1,1,182,0.5%,"No
"
147,ITGB4,4,4,182,2.2%,"No
"
148,EIF6,1,1,182,0.5%,"No
"
149,ITGB5,1,1,182,0.5%,"No
"
150,COX18,1,1,182,0.5%,"No
"
151,ITGB6,4,4,182,2.2%,"No
"
152,ITGB7,1,1,182,0.5%,"No
"
153,CDKN2D,1,1,182,0.5%,"No
"
154,FRYL,7,7,182,3.8%,"No
"
155,CDKN2A,15,15,182,8.2%,"Yes
"
156,CDKN1C,1,1,182,0.5%,"No
"
157,FPR3,1,1,182,0.5%,"No
"
158,LAS1L,1,1,182,0.5%,"No
"
159,FPR2,4,3,182,1.6%,"No
"
160,ZNF688,2,2,182,1.1%,"No
"
161,CDKN1A,1,1,182,0.5%,"Yes
"
162,FPR1,2,2,182,1.1%,"No
"
163,FPGS,1,1,182,0.5%,"No
"
164,RIPOR1,2,2,182,1.1%,"No
"
