,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,STPG2,1,1,397,0.3%,"No
"
1,KRT6C,2,2,397,0.5%,"No
"
2,ASPM,17,7,397,1.8%,"No
"
3,INSIG1,3,2,397,0.5%,"No
"
4,FOXM1,6,4,397,1.0%,"No
"
5,FOXC2,1,1,397,0.3%,"No
"
6,FOXE3,1,1,397,0.3%,"No
"
7,LAMA1,27,21,397,5.3%,"No
"
8,FOXL1,2,2,397,0.5%,"No
"
9,INS,1,1,397,0.3%,"No
"
10,INPP4A,2,2,397,0.5%,"Yes
"
11,INPP5A,2,2,397,0.5%,"No
"
12,INPP5B,4,3,397,0.8%,"No
"
13,FOXO3,1,1,397,0.3%,"Yes
"
14,INPP5D,8,7,397,1.8%,"Yes
"
15,FOXO1,1,1,397,0.3%,"Yes
"
16,INPPL1,4,4,397,1.0%,"Yes
"
17,OGDH,3,2,397,0.5%,"No
"
18,FOXS1,5,3,397,0.8%,"No
"
19,OGG1,2,2,397,0.5%,"No
"
20,PDX1,1,1,397,0.3%,"No
"
21,TNFRSF11B,3,3,397,0.8%,"No
"
22,FLNB,8,8,397,2.0%,"No
"
23,A1BG,2,2,397,0.5%,"No
"
24,FLNA,16,12,397,3.0%,"No
"
25,A2M,8,6,397,1.5%,"No
"
26,FLII,3,3,397,0.8%,"No
"
27,FLI1,2,2,397,0.5%,"Yes
"
28,METRNL,2,1,397,0.3%,"No
"
29,FLG,70,53,397,13.4%,"No
"
30,NAT1,1,1,397,0.3%,"No
"
31,OLR1,3,2,397,0.5%,"No
"
32,INSR,3,3,397,0.8%,"Yes
"
33,OMG,1,1,397,0.3%,"No
"
34,INSRR,5,5,397,1.3%,"No
"
35,OPA1,2,2,397,0.5%,"No
"
36,EIF3E,2,2,397,0.5%,"Yes
"
37,OPCML,3,3,397,0.8%,"No
"
38,FLNC,14,9,397,2.3%,"No
"
39,SIX6,1,1,397,0.3%,"No
"
40,IRF2,2,2,397,0.5%,"Yes
"
41,OR1D2,2,2,397,0.5%,"No
"
42,OR1F1,4,4,397,1.0%,"No
"
43,IRF4,6,6,397,1.5%,"Yes
"
44,OR2C1,3,3,397,0.8%,"No
"
45,CDH2,1,1,397,0.3%,"No
"
46,FMO5,2,1,397,0.3%,"No
"
47,FMO3,5,3,397,0.8%,"No
"
48,FMO1,2,2,397,0.5%,"No
"
49,FLT4,4,3,397,0.8%,"Yes
"
50,FLT3LG,1,1,397,0.3%,"No
"
51,FLT3,10,10,397,2.5%,"Yes
"
52,FLT1,6,6,397,1.5%,"Yes
"
53,IPP,4,3,397,0.8%,"No
"
54,OPHN1,6,6,397,1.5%,"No
"
55,IRAK1,2,2,397,0.5%,"No
"
