,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,STPG2,3,3,515,0.6%,"No
"
1,KRT6C,4,4,515,0.8%,"No
"
2,ASPM,32,32,515,6.2%,"No
"
3,FOXD2,1,1,515,0.2%,"No
"
4,INSIG1,2,2,515,0.4%,"No
"
5,OGN,1,1,515,0.2%,"No
"
6,FOXM1,3,3,515,0.6%,"No
"
7,FOXC2,4,4,515,0.8%,"No
"
8,FOXJ1,1,1,515,0.2%,"No
"
9,FOXE3,1,1,515,0.2%,"No
"
10,LAMA1,28,26,515,5.0%,"No
"
11,FOXL1,2,2,515,0.4%,"No
"
12,INPP4A,9,9,515,1.7%,"Yes
"
13,INPP5A,4,4,515,0.8%,"No
"
14,INPP5B,6,6,515,1.2%,"No
"
15,FOXO3,2,2,515,0.4%,"Yes
"
16,INPP5D,8,7,515,1.4%,"Yes
"
17,FOXO1,4,4,515,0.8%,"Yes
"
18,INPPL1,9,9,515,1.7%,"Yes
"
19,OGDH,12,11,515,2.1%,"No
"
20,FOXS1,2,2,515,0.4%,"No
"
21,OGG1,2,2,515,0.4%,"No
"
22,PDX1,3,3,515,0.6%,"No
"
23,TNFRSF11B,1,1,515,0.2%,"No
"
24,FLNB,10,10,515,1.9%,"No
"
25,A1BG,8,7,515,1.4%,"No
"
26,FLNA,25,22,515,4.3%,"No
"
27,A2M,8,8,515,1.6%,"No
"
28,FLII,5,5,515,1.0%,"No
"
29,FLI1,5,4,515,0.8%,"Yes
"
30,METRNL,2,2,515,0.4%,"No
"
31,FLG,84,67,515,13.0%,"No
"
32,INSL4,1,1,515,0.2%,"No
"
33,NAT1,2,2,515,0.4%,"No
"
34,INSM1,3,3,515,0.6%,"No
"
35,OLR1,1,1,515,0.2%,"No
"
36,INSR,2,2,515,0.4%,"Yes
"
37,OMG,1,1,515,0.2%,"No
"
38,OMP,1,1,515,0.2%,"No
"
39,INSRR,5,5,515,1.0%,"No
"
40,OPA1,8,8,515,1.6%,"No
"
41,EIF3E,2,2,515,0.4%,"Yes
"
42,FLOT2,2,2,515,0.4%,"No
"
43,OPCML,7,7,515,1.4%,"No
"
44,FLNC,20,17,515,3.3%,"No
"
45,SIX6,4,4,515,0.8%,"No
"
46,IRF2,7,7,515,1.4%,"Yes
"
47,OR1D2,4,4,515,0.8%,"No
"
48,IRF3,1,1,515,0.2%,"No
"
49,OR1F1,2,2,515,0.4%,"No
"
50,IRF4,6,6,515,1.2%,"Yes
"
51,OR2C1,1,1,515,0.2%,"No
"
52,CDH2,6,6,515,1.2%,"No
"
53,FMOD,8,6,515,1.2%,"No
"
54,FMO5,2,2,515,0.4%,"No
"
55,FMO3,6,6,515,1.2%,"No
"
56,FMO2,5,5,515,1.0%,"No
"
57,FMO1,7,7,515,1.4%,"No
"
58,FLT4,13,12,515,2.3%,"Yes
"
59,FLT3LG,1,1,515,0.2%,"No
"
60,FLT3,5,5,515,1.0%,"Yes
"
61,FLT1,17,16,515,3.1%,"Yes
"
62,IPP,4,4,515,0.8%,"No
"
63,OPHN1,5,5,515,1.0%,"No
"
64,IRAK1,3,3,515,0.6%,"No
"
65,OPRD1,2,2,515,0.4%,"No
"
66,ITGA6,2,2,515,0.4%,"No
"
67,OPRK1,6,6,515,1.2%,"No
"
68,IRAK2,2,2,515,0.4%,"No
"
69,OPRL1,5,5,515,1.0%,"No
"
70,OPRM1,6,6,515,1.2%,"No
"
71,IREB2,8,8,515,1.6%,"No
"
72,FMO4,6,6,515,1.2%,"No
"
73,IRF1,8,5,515,1.0%,"Yes
"
74,ISL1,4,4,515,0.8%,"No
"
75,ISLR,3,3,515,0.6%,"No
"
76,ITGA1,3,3,515,0.6%,"No
"
77,ITGA2,7,6,515,1.2%,"No
"
78,FNTB,3,3,515,0.6%,"No
"
79,CDH12,13,13,515,2.5%,"No
"
80,CDH10,37,32,515,6.2%,"No
"
81,FNTA,2,1,515,0.2%,"No
"
82,CDH9,28,27,515,5.2%,"No
"
83,CDH8,13,13,515,2.5%,"No
"
84,CDH7,19,18,515,3.5%,"No
"
85,CDH6,12,11,515,2.1%,"No
"
86,FN1,21,18,515,3.5%,"No
"
87,CDH5,9,9,515,1.7%,"No
"
88,AFF2,15,14,515,2.7%,"No
"
89,CDH4,8,7,515,1.4%,"No
"
90,MRGPRX1,6,5,515,1.0%,"No
"
91,CDH3,8,8,515,1.6%,"No
"
92,FMR1,2,2,515,0.4%,"No
"
93,IRF5,4,4,515,0.8%,"No
"
94,OR3A1,2,2,515,0.4%,"No
"
95,IRF6,5,5,515,1.0%,"No
"
96,OR3A2,3,3,515,0.6%,"No
"
97,IRF7,3,3,515,0.6%,"No
"
98,IRS1,2,2,515,0.4%,"Yes
"
99,ORC1,2,2,515,0.4%,"No
"
100,ORC2,4,4,515,0.8%,"No
"
101,SH3PXD2B,3,3,515,0.6%,"No
"
102,ISG20,1,1,515,0.2%,"No
"
103,CDH11,17,16,515,3.1%,"Yes
"
104,CYP4X1,2,2,515,0.4%,"No
"
105,ITGA9,3,2,515,0.4%,"No
"
106,ITGAD,6,6,515,1.2%,"No
"
107,ITGAE,4,4,515,0.8%,"No
"
108,ITGAL,8,8,515,1.6%,"No
"
109,ITGAM,10,8,515,1.6%,"No
"
110,SLX4IP,3,3,515,0.6%,"No
"
111,FOS,8,7,515,1.4%,"No
"
112,GPRIN3,7,7,515,1.4%,"No
"
113,CDK6,2,2,515,0.4%,"Yes
"
114,FOLR3,1,1,515,0.2%,"No
"
115,CDK5,4,4,515,0.8%,"No
"
116,CDK4,5,5,515,1.0%,"Yes
"
117,CDK3,2,2,515,0.4%,"No
"
118,CDK2,1,1,515,0.2%,"No
"
119,FOLR1,3,3,515,0.6%,"No
"
120,CDH18,15,14,515,2.7%,"No
"
121,CDH17,5,5,515,1.0%,"No
"
122,FOLH1,8,7,515,1.4%,"No
"
123,CDH16,6,6,515,1.2%,"No
"
124,CDH15,4,4,515,0.8%,"No
"
125,CDH13,6,6,515,1.2%,"No
"
126,ITGA2B,5,5,515,1.0%,"No
"
127,ITGA3,5,5,515,1.0%,"No
"
128,BOD1L2,1,1,515,0.2%,"No
"
129,ITGA4,13,13,515,2.5%,"No
"
130,ITGA5,3,3,515,0.6%,"No
"
