,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,SBF2,1,1,65,1.5%,"No
"
1,NECTIN2,1,1,65,1.5%,"No
"
2,FAM163A,1,1,65,1.5%,"No
"
3,DNAH3,2,2,65,3.1%,"No
"
4,ZNF618,1,1,65,1.5%,"No
"
5,LAMA1,1,1,65,1.5%,"No
"
6,ADAMTS15,1,1,65,1.5%,"No
"
7,INPP5B,1,1,65,1.5%,"No
"
8,ZNF616,1,1,65,1.5%,"No
"
9,FOXO1,1,1,65,1.5%,"Yes
"
10,OTUD7A,1,1,65,1.5%,"No
"
11,CST5,1,1,65,1.5%,"No
"
12,PLIN4,1,1,65,1.5%,"No
"
13,FLNA,1,1,65,1.5%,"No
"
14,CDH2,1,1,65,1.5%,"No
"
15,ATG2B,2,2,65,3.1%,"No
"
16,WDR70,1,1,65,1.5%,"No
"
17,FLT4,3,3,65,4.6%,"Yes
"
18,BMP2K,1,1,65,1.5%,"No
"
19,OPRD1,1,1,65,1.5%,"No
"
20,OPRK1,1,1,65,1.5%,"No
"
21,POSTN,1,1,65,1.5%,"No
"
22,ZFP62,1,1,65,1.5%,"No
"
23,ISLR,1,1,65,1.5%,"No
"
24,ZNF845,1,1,65,1.5%,"No
"
25,ITGA2,1,1,65,1.5%,"No
"
26,H2BW2,1,1,65,1.5%,"No
"
27,DIPK2A,2,2,65,3.1%,"No
"
28,VEZT,1,1,65,1.5%,"No
"
29,ZCCHC8,1,1,65,1.5%,"No
"
30,AFF2,1,1,65,1.5%,"No
"
31,FMR1,1,1,65,1.5%,"No
"
32,ARHGAP17,1,1,65,1.5%,"No
"
33,SPATA31D1,1,1,65,1.5%,"No
"
34,IRF5,1,1,65,1.5%,"No
"
35,ADAMTS16,1,1,65,1.5%,"No
"
36,EXOC5,1,1,65,1.5%,"No
"
37,ADAMTS17,1,1,65,1.5%,"No
"
38,ITGA9,1,1,65,1.5%,"No
"
39,ITGAE,1,1,65,1.5%,"No
"
40,ITGAM,1,1,65,1.5%,"No
"
41,PPP1R15B,1,1,65,1.5%,"No
"
42,CDK6,1,1,65,1.5%,"Yes
"
43,P3H4,1,1,65,1.5%,"No
"
44,FOLR2,1,1,65,1.5%,"No
"
45,GCC1,1,1,65,1.5%,"No
"
46,NLRP3,1,1,65,1.5%,"No
"
47,ZNF785,1,1,65,1.5%,"No
"
48,ATP13A3,1,1,65,1.5%,"No
"
49,SPTA1,2,2,65,3.1%,"No
"
50,SPTAN1,1,1,65,1.5%,"No
"
51,TMEM151B,2,2,65,3.1%,"No
"
52,CTNNB1,1,1,65,1.5%,"Yes
"
53,FOLH1,1,1,65,1.5%,"No
"
54,TRIM68,1,1,65,1.5%,"No
"
55,RBCK1,1,1,65,1.5%,"No
"
56,HEATR1,1,1,65,1.5%,"No
"
57,TTC8,1,1,65,1.5%,"No
"
58,CTNNA2,1,1,65,1.5%,"No
"
59,ITGA3,1,1,65,1.5%,"No
"
60,ITGA7,1,1,65,1.5%,"No
"
61,PZP,1,1,65,1.5%,"No
"
62,ITGB5,1,1,65,1.5%,"No
"
63,SMDT1,2,1,65,1.5%,"No
"
64,MYO1F,2,2,65,3.1%,"No
"
65,FRYL,1,1,65,1.5%,"No
"
66,ARHGEF39,1,1,65,1.5%,"No
"
67,POLR3C,1,1,65,1.5%,"No
"
68,HOXA9,1,1,65,1.5%,"Yes
"
69,SLC35B4,1,1,65,1.5%,"No
"
70,CDKN1A,2,2,65,3.1%,"Yes
"
71,FPGS,1,1,65,1.5%,"No
"
72,FOSL2,1,1,65,1.5%,"No
"
73,SPTB,1,1,65,1.5%,"No
"
74,ITGAX,1,1,65,1.5%,"No
"
75,MTM1,1,1,65,1.5%,"No
"
76,ITGB1,1,1,65,1.5%,"No
"
77,GIMAP8,1,1,65,1.5%,"No
"
78,CD52,1,1,65,1.5%,"No
"
79,CALHM6,1,1,65,1.5%,"No
"
80,SAP130,1,1,65,1.5%,"No
"
81,EIF4ENIF1,2,1,65,1.5%,"No
"
82,KAT14,1,1,65,1.5%,"No
"
83,KCNQ5,1,1,65,1.5%,"No
"
84,AP1M1,1,1,65,1.5%,"No
"
85,HOXB4,1,1,65,1.5%,"No
"
86,GAL3ST2,1,1,65,1.5%,"No
"
87,MTTP,1,1,65,1.5%,"No
"
88,DSG4,1,1,65,1.5%,"No
"
89,ATXN3L,1,1,65,1.5%,"No
"
90,TAS2R50,1,1,65,1.5%,"No
"
91,HOXC13,1,1,65,1.5%,"Yes
"
92,CORO7,1,1,65,1.5%,"No
"
93,CEACAM5,1,1,65,1.5%,"No
"
94,RCN3,1,1,65,1.5%,"No
"
95,BDKRB1,1,1,65,1.5%,"No
"
96,TBL3,1,1,65,1.5%,"No
"
97,MASTL,1,1,65,1.5%,"No
"
98,CACNA1H,1,1,65,1.5%,"No
"
99,CACNA1G,1,1,65,1.5%,"No
"
100,RAD23B,1,1,65,1.5%,"No
"
101,BDNF,1,1,65,1.5%,"No
"
102,SRPRA,1,1,65,1.5%,"No
"
103,UBE2QL1,1,1,65,1.5%,"No
"
104,ANKRD52,1,1,65,1.5%,"No
"
105,USP16,1,1,65,1.5%,"No
"
106,PCNX4,1,1,65,1.5%,"No
"
107,PODXL,1,1,65,1.5%,"No
"
108,FXN,1,1,65,1.5%,"No
"
109,OTOA,1,1,65,1.5%,"No
"
110,CENPE,1,1,65,1.5%,"No
"
111,PADI4,1,1,65,1.5%,"No
"
112,MICALL1,1,1,65,1.5%,"No
"
113,SEPTIN5,1,1,65,1.5%,"Yes
"
114,HERC2,4,4,65,6.2%,"No
"
115,COQ8B,1,1,65,1.5%,"No
"
116,TUBGCP6,1,1,65,1.5%,"No
"
117,SEPTIN4,1,1,65,1.5%,"No
"
118,AJAP1,1,1,65,1.5%,"No
"
119,RIPOR3,1,1,65,1.5%,"No
"
120,BSN,2,2,65,3.1%,"No
"
121,KRR1,1,1,65,1.5%,"No
"
122,SSC5D,2,1,65,1.5%,"No
"
123,HERC1,1,1,65,1.5%,"No
"
124,DAGLB,1,1,65,1.5%,"No
"
125,MUC2,1,1,65,1.5%,"No
"
126,POLR2A,1,1,65,1.5%,"No
"
