,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,FAM200B,1,1,402,0.2%,"No
"
1,STPG2,2,2,402,0.5%,"No
"
2,KRT6C,1,1,402,0.2%,"No
"
3,ST6GALNAC5,1,1,402,0.2%,"No
"
4,LGALS14,1,1,402,0.2%,"No
"
5,ASPM,2,2,402,0.5%,"No
"
6,SBF2,3,3,402,0.7%,"No
"
7,SPRY4,1,1,402,0.2%,"No
"
8,INSIG1,1,1,402,0.2%,"No
"
9,OGN,1,1,402,0.2%,"No
"
10,FOXM1,1,1,402,0.2%,"No
"
11,BDH2,1,1,402,0.2%,"No
"
12,CDC42BPG,2,2,402,0.5%,"No
"
13,ANKS1B,6,6,402,1.5%,"No
"
14,SFXN3,1,1,402,0.2%,"No
"
15,GALNT10,2,2,402,0.5%,"No
"
16,DNAH3,9,9,402,2.2%,"No
"
17,UBQLN4,2,2,402,0.5%,"No
"
18,LAMA1,4,4,402,1.0%,"No
"
19,KRTAP1-3,1,1,402,0.2%,"No
"
20,INPP4A,3,3,402,0.7%,"Yes
"
21,INPP5A,1,1,402,0.2%,"No
"
22,INPP5B,3,3,402,0.7%,"No
"
23,FOXO3,1,1,402,0.2%,"Yes
"
24,FOXO1,1,1,402,0.2%,"Yes
"
25,INPPL1,3,3,402,0.7%,"Yes
"
26,OGDH,3,3,402,0.7%,"No
"
27,OGG1,1,1,402,0.2%,"No
"
28,TNFRSF11B,1,1,402,0.2%,"No
"
29,VANGL1,2,2,402,0.5%,"No
"
30,ZNF641,2,2,402,0.5%,"No
"
31,CNOT11,4,4,402,1.0%,"No
"
32,SERPINA12,2,2,402,0.5%,"No
"
33,FLNB,2,2,402,0.5%,"No
"
34,A1BG,1,1,402,0.2%,"No
"
35,A2M,3,3,402,0.7%,"No
"
36,MLANA,1,1,402,0.2%,"No
"
37,CDV3,2,2,402,0.5%,"No
"
38,FLI1,1,1,402,0.2%,"Yes
"
39,FLG,14,14,402,3.5%,"No
"
40,SUPT20H,1,1,402,0.2%,"No
"
41,NAGK,2,2,402,0.5%,"No
"
42,STAB2,4,4,402,1.0%,"No
"
43,NAT1,2,2,402,0.5%,"No
"
44,TRIM73,1,1,402,0.2%,"No
"
45,INSR,1,1,402,0.2%,"Yes
"
46,DDTL,1,1,402,0.2%,"No
"
47,INSRR,3,3,402,0.7%,"No
"
48,OPA1,2,2,402,0.5%,"No
"
49,EIF3E,1,1,402,0.2%,"Yes
"
50,OPCML,1,1,402,0.2%,"No
"
51,FLNC,4,4,402,1.0%,"No
"
52,SPECC1,3,3,402,0.7%,"No
"
53,SIX6,1,1,402,0.2%,"No
"
54,IRF2,1,1,402,0.2%,"Yes
"
55,OR1D2,2,2,402,0.5%,"No
"
56,IRF3,1,1,402,0.2%,"No
"
57,FBXW10B,1,1,402,0.2%,"No
"
58,IRF4,2,2,402,0.5%,"Yes
"
59,CDH2,3,3,402,0.7%,"No
"
60,FMOD,3,3,402,0.7%,"No
"
61,FMO5,3,3,402,0.7%,"No
"
62,SLC15A4,3,2,402,0.5%,"No
"
63,KIF27,3,3,402,0.7%,"No
"
64,MIOX,3,3,402,0.7%,"No
"
65,FMO2,2,2,402,0.5%,"No
"
66,UBE2Q1,1,1,402,0.2%,"No
"
67,FMO1,1,1,402,0.2%,"No
"
68,FLT4,3,3,402,0.7%,"Yes
"
69,FLT3LG,1,1,402,0.2%,"No
"
70,BMP2K,2,2,402,0.5%,"No
"
71,KRTAP4-6,1,1,402,0.2%,"No
"
