,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,STPG2,3,3,276,1.1%,"No
"
1,ST6GALNAC5,3,2,276,0.7%,"No
"
2,MDM1,1,1,276,0.4%,"No
"
3,ASPM,2,2,276,0.7%,"No
"
4,SBF2,2,2,276,0.7%,"No
"
5,SPRY4,1,1,276,0.4%,"No
"
6,FOXD2,2,2,276,0.7%,"No
"
7,OGN,2,2,276,0.7%,"No
"
8,FOXM1,1,1,276,0.4%,"No
"
9,FOXC2,1,1,276,0.4%,"No
"
10,CDC42BPG,5,5,276,1.8%,"No
"
11,ANKS1B,2,2,276,0.7%,"No
"
12,FOXJ1,2,2,276,0.7%,"No
"
13,GALNT10,1,1,276,0.4%,"No
"
14,FOXE3,1,1,276,0.4%,"No
"
15,DNAH3,7,7,276,2.5%,"No
"
16,UBQLN4,1,1,276,0.4%,"No
"
17,OR10AD1,2,2,276,0.7%,"No
"
18,LAMA1,4,4,276,1.4%,"No
"
19,TPH2,1,1,276,0.4%,"No
"
20,INS,2,2,276,0.7%,"No
"
21,INPP4A,2,2,276,0.7%,"Yes
"
22,INPP5B,3,3,276,1.1%,"No
"
23,FOXO3,1,1,276,0.4%,"Yes
"
24,INPP5D,2,2,276,0.7%,"Yes
"
25,FOXO1,2,2,276,0.7%,"Yes
"
26,INPPL1,3,3,276,1.1%,"Yes
"
27,OGDH,6,5,276,1.8%,"No
"
28,OGG1,3,3,276,1.1%,"No
"
29,VANGL1,1,1,276,0.4%,"No
"
30,CNOT11,1,1,276,0.4%,"No
"
31,SERPINA12,2,2,276,0.7%,"No
"
32,FLNB,4,4,276,1.4%,"No
"
33,FLNA,1,1,276,0.4%,"No
"
34,RHEBL1,1,1,276,0.4%,"No
"
35,A2M,3,3,276,1.1%,"No
"
36,FLII,4,4,276,1.4%,"No
"
37,FOXRED1,1,1,276,0.4%,"No
"
38,TRIM56,2,2,276,0.7%,"No
"
39,FLG,5,5,276,1.8%,"No
"
40,NAGK,1,1,276,0.4%,"No
"
41,STAB2,3,3,276,1.1%,"No
"
42,INSR,1,1,276,0.4%,"Yes
"
