,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,MDM1,1,1,200,0.5%,"No
"
1,SBF2,2,2,200,1.0%,"No
"
2,KHDRBS1,1,1,200,0.5%,"No
"
3,DPYSL5,1,1,200,0.5%,"No
"
4,FOXM1,1,1,200,0.5%,"No
"
5,KHDRBS3,1,1,200,0.5%,"No
"
6,TMEM14B,1,1,200,0.5%,"No
"
7,CELF2,1,1,200,0.5%,"No
"
8,STK32A,1,1,200,0.5%,"No
"
9,CELF1,3,3,200,1.5%,"No
"
10,ANKS1B,2,2,200,1.0%,"No
"
11,DNAH3,8,3,200,1.5%,"No
"
12,LAMA1,2,2,200,1.0%,"No
"
13,RALGAPA1,1,1,200,0.5%,"No
"
14,INPP4A,1,1,200,0.5%,"Yes
"
15,MTX2,1,1,200,0.5%,"No
"
16,INPP5B,1,1,200,0.5%,"No
"
17,INPP5D,1,1,200,0.5%,"Yes
"
18,FOXO1,1,1,200,0.5%,"Yes
"
19,SERPINA12,1,1,200,0.5%,"No
"
20,FLNA,1,1,200,0.5%,"No
"
21,FLG,3,3,200,1.5%,"No
"
22,SUPT20H,1,1,200,0.5%,"No
"
23,STAB2,1,1,200,0.5%,"No
"
24,INSR,1,1,200,0.5%,"Yes
"
25,OMG,1,1,200,0.5%,"No
"
26,CTCF,1,1,200,0.5%,"Yes
"
27,EIF3E,1,1,200,0.5%,"Yes
"
28,CXCR6,1,1,200,0.5%,"No
"
29,FLOT2,1,1,200,0.5%,"No
"
30,CD226,1,1,200,0.5%,"No
"
31,FLNC,1,1,200,0.5%,"No
"
32,TSBP1,1,1,200,0.5%,"No
"
33,SPECC1,1,1,200,0.5%,"No
"
34,IRF2,1,1,200,0.5%,"Yes
"
35,KIF27,1,1,200,0.5%,"No
"
36,FMO3,1,1,200,0.5%,"No
"
37,FMO2,1,1,200,0.5%,"No
"
38,CHRNA9,1,1,200,0.5%,"No
"
39,BMP2K,1,1,200,0.5%,"No
"
40,FLT3,61,59,200,29.5%,"Yes
"
41,MED29,1,1,200,0.5%,"No
"
42,TMEM132D,2,2,200,1.0%,"No
"
43,FLT1,4,4,200,2.0%,"Yes
"
44,ILDR2,1,1,200,0.5%,"No
"
45,POSTN,1,1,200,0.5%,"No
"
46,OPRM1,1,1,200,0.5%,"No
"
47,IRF1,1,1,200,0.5%,"Yes
"
48,ADPRHL1,1,1,200,0.5%,"No
"
49,ISLR,1,1,200,0.5%,"No
"
50,ITGA1,3,3,200,1.5%,"No
"
51,FNTB,2,1,200,0.5%,"No
"
52,ZNF611,2,2,200,1.0%,"No
"
53,DIPK2A,1,1,200,0.5%,"No
"
54,SHARPIN,1,1,200,0.5%,"No
"
55,FN1,2,2,200,1.0%,"No
"
56,AFF2,1,1,200,0.5%,"No
"
57,CDH4,1,1,200,0.5%,"No
"
58,C1ORF74,2,1,200,0.5%,"No
"
59,CDH3,1,1,200,0.5%,"No
"
60,FMR1,1,1,200,0.5%,"No
"
61,OR3A2,1,1,200,0.5%,"No
"
62,ITGAD,2,2,200,1.0%,"No
"
63,ITGAE,1,1,200,0.5%,"No
"
64,C5ORF24,1,1,200,0.5%,"No
"
65,ITGAL,1,1,200,0.5%,"No
"
66,CDK7,1,1,200,0.5%,"No
"
67,KASH5,1,1,200,0.5%,"No
"
68,GCC1,1,1,200,0.5%,"No
"
69,ATP13A3,1,1,200,0.5%,"No
"
70,SPTA1,1,1,200,0.5%,"No
"
71,CDK3,1,1,200,0.5%,"No
"
72,CDK2,1,1,200,0.5%,"No
"
73,SPAG5,1,1,200,0.5%,"No
"
74,HEXIM1,1,1,200,0.5%,"No
"
75,FOLH1,1,1,200,0.5%,"No
"
76,CDH16,1,1,200,0.5%,"No
"
77,ALG10,1,1,200,0.5%,"No
"
78,CDH13,1,1,200,0.5%,"No
"
79,ITGA3,1,1,200,0.5%,"No
"
80,ITGA4,1,1,200,0.5%,"No
"
81,ITGA5,1,1,200,0.5%,"No
"
82,ITGA7,1,1,200,0.5%,"No
"
83,KCTD1,1,1,200,0.5%,"No
"
84,ITGB3,1,1,200,0.5%,"No
"
85,ITGB5,1,1,200,0.5%,"No
"
86,SREBF1,1,1,200,0.5%,"No
"
87,CDKN2D,1,1,200,0.5%,"No
"
88,FRYL,5,5,200,2.5%,"No
"
89,ARHGEF39,1,1,200,0.5%,"No
"
90,ZNF341,1,1,200,0.5%,"No
"
91,LAS1L,1,1,200,0.5%,"No
"
92,TXNIP,1,1,200,0.5%,"No
"
93,RIPOR1,3,3,200,1.5%,"No
"
94,TAF6L,1,1,200,0.5%,"No
"
95,ITGAV,2,2,200,1.0%,"No
"
96,SPTBN1,1,1,200,0.5%,"No
"
97,SPTB,4,4,200,2.0%,"No
"
98,ITGAX,1,1,200,0.5%,"No
"
99,SPTBN2,1,1,200,0.5%,"No
"
100,FANK1,1,1,200,0.5%,"No
"
101,BOD1L1,2,2,200,1.0%,"No
"
102,SDSL,2,2,200,1.0%,"No
"
103,ARMH3,2,2,200,1.0%,"No
"
104,SAP130,1,1,200,0.5%,"No
"
105,C18ORF21,1,1,200,0.5%,"No
"
106,AMMECR1L,1,1,200,0.5%,"No
"
107,ATG4C,1,1,200,0.5%,"No
"
108,KAT14,1,1,200,0.5%,"No
"
109,MAEL,1,1,200,0.5%,"No
"
110,PBXIP1,1,1,200,0.5%,"No
"
111,OBI1,1,1,200,0.5%,"No
"
112,ITIH1,1,1,200,0.5%,"No
"
113,SREBF2,2,2,200,1.0%,"No
"
114,PNLDC1,1,1,200,0.5%,"No
"
115,DGKH,1,1,200,0.5%,"No
"
116,PNN,2,2,200,1.0%,"No
"
117,NXF3,1,1,200,0.5%,"No
"
118,SPAG16,1,1,200,0.5%,"No
"
119,CEBPA,19,13,200,6.5%,"Yes
"
