,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,OCLN,1,1,514,0.2%,"No
"
1,STPG2,4,3,514,0.6%,"No
"
2,KRT6C,4,4,514,0.8%,"No
"
3,ASPM,12,8,514,1.6%,"No
"
4,SBF2,6,5,514,1.0%,"No
"
5,RNF146,2,1,514,0.2%,"No
"
6,SPRY4,2,2,514,0.4%,"No
"
7,OGN,1,1,514,0.2%,"No
"
8,FOXM1,2,2,514,0.4%,"No
"
9,BDH2,1,1,514,0.2%,"No
"
10,FOXC2,1,1,514,0.2%,"No
"
11,CDC42BPG,3,3,514,0.6%,"No
"
12,ANKS1B,2,2,514,0.4%,"No
"
13,DNAH3,11,7,514,1.4%,"No
"
14,OR10AD1,2,2,514,0.4%,"No
"
15,LAMA1,7,4,514,0.8%,"No
"
16,FOXL1,1,1,514,0.2%,"No
"
17,AGPAT3,1,1,514,0.2%,"No
"
18,TPH2,2,2,514,0.4%,"No
"
19,ZNF821,1,1,514,0.2%,"No
"
20,INPP5B,3,2,514,0.4%,"No
"
21,INPP5D,2,1,514,0.2%,"Yes
"
22,INPPL1,6,4,514,0.8%,"Yes
"
23,OGDH,1,1,514,0.2%,"No
"
24,FOXS1,2,2,514,0.4%,"No
"
25,TNFRSF11B,2,2,514,0.4%,"No
"
26,VANGL1,1,1,514,0.2%,"No
"
27,CNOT11,3,2,514,0.4%,"No
"
28,SERPINA12,2,2,514,0.4%,"No
"
29,FLNB,8,6,514,1.2%,"No
"
30,A1BG,1,1,514,0.2%,"No
"
31,FLNA,12,7,514,1.4%,"No
"
32,A2M,4,4,514,0.8%,"No
"
33,CDV3,1,1,514,0.2%,"No
"
34,FLII,1,1,514,0.2%,"No
"
35,FOXRED1,2,1,514,0.2%,"No
"
36,TRIM56,1,1,514,0.2%,"No
"
37,FLI1,2,2,514,0.4%,"Yes
"
38,METRNL,1,1,514,0.2%,"No
"
39,FLG,25,23,514,4.5%,"No
"
40,SUPT20H,4,3,514,0.6%,"No
"
41,NAGK,1,1,514,0.2%,"No
"
42,STAB2,2,2,514,0.4%,"No
"
43,INSL4,1,1,514,0.2%,"No
"
44,NAT1,1,1,514,0.2%,"No
"
45,OLR1,1,1,514,0.2%,"No
"
46,INSR,3,1,514,0.2%,"Yes
"
47,OMG,1,1,514,0.2%,"No
"
48,INSRR,2,2,514,0.4%,"No
"
49,OPA1,5,2,514,0.4%,"No
"
50,FLOT2,1,1,514,0.2%,"No
"
51,OPCML,1,1,514,0.2%,"No
"
52,FLNC,13,10,514,1.9%,"No
"
53,IRF2,1,1,514,0.2%,"Yes
"
54,OR1D2,1,1,514,0.2%,"No
"
55,IRF3,1,1,514,0.2%,"No
"
56,OR1F1,1,1,514,0.2%,"No
"
