,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,FAM200B,2,2,366,0.5%,"No
"
1,STPG2,2,2,366,0.5%,"No
"
2,KRT6C,3,3,366,0.8%,"No
"
3,ASPM,8,7,366,1.9%,"No
"
4,FOXD2,2,2,366,0.5%,"No
"
5,INSIG1,4,4,366,1.1%,"No
"
6,OGN,4,4,366,1.1%,"No
"
7,FOXM1,1,1,366,0.3%,"No
"
8,FOXE1,1,1,366,0.3%,"No
"
9,FOXC2,3,3,366,0.8%,"No
"
10,FOXJ1,1,1,366,0.3%,"No
"
11,FOXE3,2,2,366,0.5%,"No
"
12,LAMA1,18,18,366,4.9%,"No
"
13,FOXL1,3,2,366,0.5%,"No
"
14,INS,1,1,366,0.3%,"No
"
15,INPP4A,2,2,366,0.5%,"Yes
"
16,INPP5A,2,2,366,0.5%,"No
"
17,FOXO3,1,1,366,0.3%,"Yes
"
18,INPP5D,1,1,366,0.3%,"Yes
"
19,FOXO1,1,1,366,0.3%,"Yes
"
20,INPPL1,3,3,366,0.8%,"Yes
"
21,FOXS1,3,3,366,0.8%,"No
"
22,OGG1,1,1,366,0.3%,"No
"
23,PDX1,3,3,366,0.8%,"No
"
24,TNFRSF11B,5,3,366,0.8%,"No
"
25,FLNB,10,10,366,2.7%,"No
"
26,A1BG,4,4,366,1.1%,"No
"
27,FLNA,5,5,366,1.4%,"No
"
28,A2M,4,4,366,1.1%,"No
"
29,MLANA,1,1,366,0.3%,"No
"
30,FLII,1,1,366,0.3%,"No
"
31,FLI1,3,3,366,0.8%,"Yes
"
32,METRNL,1,1,366,0.3%,"No
"
33,FLG,35,32,366,8.7%,"No
"
34,INSL4,1,1,366,0.3%,"No
"
35,INSM1,1,1,366,0.3%,"No
"
36,INSR,3,3,366,0.8%,"Yes
"
37,OMG,1,1,366,0.3%,"No
"
38,OMP,1,1,366,0.3%,"No
"
39,INSRR,8,8,366,2.2%,"No
"
40,OPA1,7,5,366,1.4%,"No
"
41,EIF3E,4,4,366,1.1%,"Yes
"
42,FLOT2,2,2,366,0.5%,"No
"
43,OPCML,5,5,366,1.4%,"No
"
44,FLNC,8,7,366,1.9%,"No
"
45,SIX6,1,1,366,0.3%,"No
"
46,IRF2,5,5,366,1.4%,"Yes
"
47,OR1D2,1,1,366,0.3%,"No
"
48,IRF3,1,1,366,0.3%,"No
"
49,IRF4,5,5,366,1.4%,"Yes
"
50,CDH2,2,2,366,0.5%,"No
"
51,FMOD,2,2,366,0.5%,"No
"
52,FMO3,4,3,366,0.8%,"No
"
53,FMO2,4,4,366,1.1%,"No
"
54,FMO1,4,4,366,1.1%,"No
"
