,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,STPG2,11,11,566,1.9%,"No
"
1,INSL3,1,1,566,0.2%,"No
"
2,KRT6C,6,5,566,0.9%,"No
"
3,ASPM,80,75,566,13.3%,"No
"
4,OGN,3,3,566,0.5%,"No
"
5,FOXM1,9,9,566,1.6%,"No
"
6,FOXE1,2,2,566,0.4%,"No
"
7,FOXC2,10,10,566,1.8%,"No
"
8,FOXJ1,1,1,566,0.2%,"No
"
9,FOXE3,1,1,566,0.2%,"No
"
10,LAMA1,70,60,566,10.6%,"No
"
11,FOXL1,3,3,566,0.5%,"No
"
12,INS,7,6,566,1.1%,"No
"
13,INPP4A,8,8,566,1.4%,"Yes
"
14,INPP5A,4,3,566,0.5%,"No
"
15,INPP5B,10,10,566,1.8%,"No
"
16,FOXO3,6,6,566,1.1%,"Yes
"
17,INPP5D,11,11,566,1.9%,"Yes
"
18,FOXO1,5,5,566,0.9%,"Yes
"
19,INPPL1,13,13,566,2.3%,"Yes
"
20,OGDH,11,11,566,1.9%,"No
"
21,FOXS1,5,5,566,0.9%,"No
"
22,OGG1,2,2,566,0.4%,"No
"
23,TNFRSF11B,3,3,566,0.5%,"No
"
24,FLNB,17,16,566,2.8%,"No
"
25,A1BG,5,5,566,0.9%,"No
"
26,FLNA,41,35,566,6.2%,"No
"
27,A2M,26,25,566,4.4%,"No
"
28,MLANA,1,1,566,0.2%,"No
"
29,FLII,9,8,566,1.4%,"No
"
30,FLI1,20,19,566,3.4%,"Yes
"
31,METRNL,1,1,566,0.2%,"No
"
32,FLG,229,145,566,25.6%,"No
"
33,INSL4,4,4,566,0.7%,"No
"
34,NAT1,4,4,566,0.7%,"No
"
35,INSM1,6,5,566,0.9%,"No
"
36,OLR1,9,9,566,1.6%,"No
"
37,INSR,15,14,566,2.5%,"Yes
"
38,OMG,2,2,566,0.4%,"No
"
39,OMP,1,1,566,0.2%,"No
"
40,INSRR,40,37,566,6.5%,"No
"
41,OPA1,7,6,566,1.1%,"No
"
42,EIF3E,9,9,566,1.6%,"Yes
"
43,FLOT2,6,6,566,1.1%,"No
"
44,OPCML,15,14,566,2.5%,"No
"
45,FLNC,61,49,566,8.7%,"No
"
46,SIX6,5,5,566,0.9%,"No
"
47,IRF2,3,3,566,0.5%,"Yes
"
48,OR1D2,4,4,566,0.7%,"No
"
49,OR1F1,3,3,566,0.5%,"No
"
50,IRF4,17,16,566,2.8%,"Yes
"
51,OR2C1,4,4,566,0.7%,"No
"
52,CDH2,37,30,566,5.3%,"No
"
53,FMOD,6,6,566,1.1%,"No
"
54,FMO5,2,2,566,0.4%,"No
"
55,WFDC9,1,1,566,0.2%,"No
"
56,FMO3,11,11,566,1.9%,"No
"
57,FMO2,17,17,566,3.0%,"No
"
58,FMO1,23,23,566,4.1%,"No
"
59,FLT4,24,21,566,3.7%,"Yes
"
60,FLT3LG,2,2,566,0.4%,"No
"
61,WFDC11,1,1,566,0.2%,"No
"
62,FLT3,23,22,566,3.9%,"Yes
"
63,FLT1,30,27,566,4.8%,"Yes
"
64,IPP,6,4,566,0.7%,"No
"
65,OPHN1,19,19,566,3.4%,"No
"
66,IRAK1,7,7,566,1.2%,"No
"
67,OPRD1,3,3,566,0.5%,"No
"
68,ITGA6,11,11,566,1.9%,"No
"
69,OPRK1,13,13,566,2.3%,"No
"
70,IRAK2,5,5,566,0.9%,"No
"
71,OPRL1,11,11,566,1.9%,"No
"
72,OPRM1,12,11,566,1.9%,"No
"
73,IREB2,8,8,566,1.4%,"No
"
74,FMO4,9,9,566,1.6%,"No
"
75,IRF1,1,1,566,0.2%,"Yes
"
76,ISL1,14,14,566,2.5%,"No
"
77,ISLR,8,8,566,1.4%,"No
"
78,ITGA1,16,16,566,2.8%,"No
"
79,ITGA2,27,26,566,4.6%,"No
"
80,FNTB,2,2,566,0.4%,"No
"
81,CDH12,74,64,566,11.3%,"No
"
82,CDH10,113,92,566,16.3%,"No
"
83,FNTA,5,5,566,0.9%,"No
"
84,CDH9,74,63,566,11.1%,"No
"
85,CDH8,49,47,566,8.3%,"No
"
86,CDH7,50,48,566,8.5%,"No
"
87,CDH6,40,36,566,6.4%,"No
"
88,FN1,23,22,566,3.9%,"No
"
89,CDH5,15,14,566,2.5%,"No
"
90,AFF2,71,58,566,10.2%,"No
"
91,CDH4,21,21,566,3.7%,"No
"
92,MRGPRX1,8,8,566,1.4%,"No
"
93,CDH3,9,9,566,1.6%,"No
"
94,FMR1,18,16,566,2.8%,"No
"
95,IRF5,2,2,566,0.4%,"No
"
96,OR3A1,10,10,566,1.8%,"No
"
97,IRF6,13,11,566,1.9%,"No
"
98,OR3A2,9,9,566,1.6%,"No
"
99,IRF7,4,4,566,0.7%,"No
"
100,IRS1,19,18,566,3.2%,"Yes
"
101,ORC1,8,8,566,1.4%,"No
"
102,ORC2,7,7,566,1.2%,"No
"
103,SH3PXD2B,13,13,566,2.3%,"No
"
104,ISG20,2,2,566,0.4%,"No
"
105,CDH11,35,33,566,5.8%,"Yes
"
106,CYP4X1,3,3,566,0.5%,"No
"
107,ITGA9,9,9,566,1.6%,"No
"
108,ITGAD,38,34,566,6.0%,"No
"
109,ITGAE,22,22,566,3.9%,"No
"
110,ITGAL,26,25,566,4.4%,"No
"
111,ITGAM,27,27,566,4.8%,"No
"
112,SLX4IP,6,6,566,1.1%,"No
"
113,CDK7,3,3,566,0.5%,"No
"
114,FOS,4,4,566,0.7%,"No
"
115,GPRIN3,14,13,566,2.3%,"No
"
116,CDK6,5,4,566,0.7%,"Yes
"
117,FOLR3,5,5,566,0.9%,"No
"
118,CDK5,3,3,566,0.5%,"No
"
119,FOLR2,3,3,566,0.5%,"No
"
120,CDK4,3,3,566,0.5%,"Yes
"
121,FOLR1,3,3,566,0.5%,"No
"
122,CDH18,58,54,566,9.5%,"No
"
123,CDH17,28,24,566,4.2%,"No
"
124,FOLH1,40,37,566,6.5%,"No
"
125,CDH16,8,8,566,1.4%,"No
"
126,CDH15,10,10,566,1.8%,"No
"
127,CDH13,14,14,566,2.5%,"No
"
128,ITGA2B,12,12,566,2.1%,"No
"
129,ITGA3,8,7,566,1.2%,"No
"
130,BOD1L2,4,4,566,0.7%,"No
"
131,ITGA4,39,38,566,6.7%,"No
"
132,ITGA5,10,10,566,1.8%,"No
"
133,DYNAP,4,4,566,0.7%,"No
"
134,ITGA7,14,14,566,2.5%,"No
"
135,KCTD1,3,3,566,0.5%,"No
"
136,METTL24,1,1,566,0.2%,"No
"
137,ITGB3,11,11,566,1.9%,"No
"
138,ITGB4,10,9,566,1.6%,"No
"
139,EIF6,6,5,566,0.9%,"No
"
140,ITGB5,5,5,566,0.9%,"No
"
141,ITGB6,11,10,566,1.8%,"No
"
142,ITGB7,2,2,566,0.4%,"No
"
143,CDKN2D,2,2,566,0.4%,"No
"
144,YIPF7,10,9,566,1.6%,"No
"
