,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,STPG2,8,8,484,1.7%,"No
"
1,INSL3,1,1,484,0.2%,"No
"
2,KRT6C,6,6,484,1.2%,"No
"
3,ASPM,47,43,484,8.9%,"No
"
4,FOXD2,1,1,484,0.2%,"No
"
5,INSIG1,3,3,484,0.6%,"No
"
6,OGN,2,2,484,0.4%,"No
"
7,FOXM1,7,7,484,1.4%,"No
"
8,FOXE1,3,3,484,0.6%,"No
"
9,FOXC2,5,5,484,1.0%,"No
"
10,FOXJ1,5,5,484,1.0%,"No
"
11,FOXE3,1,1,484,0.2%,"No
"
12,LAMA1,50,43,484,8.9%,"No
"
13,FOXL1,3,3,484,0.6%,"No
"
14,INPP4A,10,10,484,2.1%,"Yes
"
15,INPP5A,7,7,484,1.4%,"No
"
16,INPP5B,13,12,484,2.5%,"No
"
17,FOXO3,5,5,484,1.0%,"Yes
"
18,INPP5D,21,21,484,4.3%,"Yes
"
19,FOXO1,3,3,484,0.6%,"Yes
"
20,INPPL1,19,18,484,3.7%,"Yes
"
21,OGDH,10,10,484,2.1%,"No
"
22,FOXS1,1,1,484,0.2%,"No
"
23,OGG1,2,2,484,0.4%,"No
"
24,PDX1,4,4,484,0.8%,"No
"
25,TNFRSF11B,7,7,484,1.4%,"No
"
26,FLNB,11,11,484,2.3%,"No
"
27,A1BG,1,1,484,0.2%,"No
"
28,FLNA,34,30,484,6.2%,"No
"
29,A2M,21,21,484,4.3%,"No
"
30,MLANA,1,1,484,0.2%,"No
"
31,FLII,8,7,484,1.4%,"No
"
32,FLI1,12,11,484,2.3%,"Yes
"
33,METRNL,1,1,484,0.2%,"No
"
34,FLG,107,84,484,17.4%,"No
"
35,INSL4,3,3,484,0.6%,"No
"
36,NAT1,5,5,484,1.0%,"No
"
37,INSM1,2,2,484,0.4%,"No
"
38,OLR1,6,6,484,1.2%,"No
"
39,INSR,21,21,484,4.3%,"Yes
"
40,OMG,2,2,484,0.4%,"No
"
41,OMP,4,4,484,0.8%,"No
"
42,INSRR,24,23,484,4.8%,"No
"
43,OPA1,5,5,484,1.0%,"No
"
44,EIF3E,6,5,484,1.0%,"Yes
"
45,FLOT2,3,3,484,0.6%,"No
"
46,OPCML,18,17,484,3.5%,"No
"
47,FLNC,47,44,484,9.1%,"No
"
48,SIX6,2,2,484,0.4%,"No
"
49,IRF2,5,5,484,1.0%,"Yes
"
50,OR1D2,7,7,484,1.4%,"No
"
51,IRF3,1,1,484,0.2%,"No
"
52,OR1F1,3,3,484,0.6%,"No
"
53,IRF4,11,10,484,2.1%,"Yes
"
54,OR2C1,3,3,484,0.6%,"No
"
55,CDH2,18,18,484,3.7%,"No
"
56,FMOD,6,6,484,1.2%,"No
"
57,FMO5,8,8,484,1.7%,"No
"
58,WFDC9,1,1,484,0.2%,"No
"
59,FMO3,10,10,484,2.1%,"No
"
60,FMO2,7,6,484,1.2%,"No
"
61,FMO1,10,9,484,1.9%,"No
"
62,FLT4,20,18,484,3.7%,"Yes
"
63,FLT3LG,1,1,484,0.2%,"No
"
64,WFDC11,1,1,484,0.2%,"No
"
65,FLT3,16,16,484,3.3%,"Yes
"
66,FLT1,25,24,484,5.0%,"Yes
"
67,IPP,6,6,484,1.2%,"No
"
68,OPHN1,14,13,484,2.7%,"No
"
69,IRAK1,9,9,484,1.9%,"No
"
70,OPRD1,6,6,484,1.2%,"No
"
71,ITGA6,7,7,484,1.4%,"No
"
72,OPRK1,9,8,484,1.7%,"No
"
73,IRAK2,1,1,484,0.2%,"No
"
74,OPRL1,11,11,484,2.3%,"No
"
75,OPRM1,10,9,484,1.9%,"No
"
76,IREB2,4,4,484,0.8%,"No
"
77,FMO4,5,5,484,1.0%,"No
"
78,IRF1,3,3,484,0.6%,"Yes
"
79,ISL1,11,11,484,2.3%,"No
"
80,ISLR,6,6,484,1.2%,"No
"
81,ITGA1,8,8,484,1.7%,"No
"
82,ITGA2,14,13,484,2.7%,"No
"
83,FNTB,3,3,484,0.6%,"No
"
84,CDH12,57,50,484,10.3%,"No
"
85,CDH10,120,97,484,20.0%,"No
"
86,FNTA,8,8,484,1.7%,"No
"
87,CDH9,55,49,484,10.1%,"No
"
88,CDH8,42,39,484,8.1%,"No
"
89,CDH7,26,24,484,5.0%,"No
"
90,CDH6,22,21,484,4.3%,"No
"
91,FN1,40,37,484,7.6%,"No
"
92,CDH5,11,11,484,2.3%,"No
"
93,AFF2,28,26,484,5.4%,"No
"
94,CDH4,14,12,484,2.5%,"No
"
95,MRGPRX1,10,10,484,2.1%,"No
"
96,CDH3,9,8,484,1.7%,"No
"
97,FMR1,15,14,484,2.9%,"No
"
98,IRF5,2,2,484,0.4%,"No
"
99,OR3A1,2,2,484,0.4%,"No
"
100,IRF6,15,15,484,3.1%,"No
"
101,OR3A2,4,4,484,0.8%,"No
"
102,IRF7,3,3,484,0.6%,"No
"
103,IRS1,15,13,484,2.7%,"Yes
"
104,ORC1,9,9,484,1.9%,"No
"
105,ORC2,6,6,484,1.2%,"No
"
106,SH3PXD2B,9,9,484,1.9%,"No
"
107,ISG20,2,2,484,0.4%,"No
"
108,CDH11,21,20,484,4.1%,"Yes
"
109,PPP1R27,1,1,484,0.2%,"No
"
110,CYP4X1,2,2,484,0.4%,"No
"
111,ITGA9,6,6,484,1.2%,"No
"
112,ITGAD,24,23,484,4.8%,"No
"
113,ITGAE,10,10,484,2.1%,"No
"
114,ITGAL,5,5,484,1.0%,"No
"
115,ITGAM,12,12,484,2.5%,"No
"
116,SLX4IP,6,6,484,1.2%,"No
"
117,CDK7,2,2,484,0.4%,"No
"
118,FOS,3,3,484,0.6%,"No
"
119,GPRIN3,16,16,484,3.3%,"No
"
120,CDK6,3,3,484,0.6%,"Yes
"
121,FOLR3,7,7,484,1.4%,"No
"
122,CDK5,1,1,484,0.2%,"No
"
123,FOLR2,3,3,484,0.6%,"No
"
124,CDK4,1,1,484,0.2%,"Yes
"
125,CDK2,2,2,484,0.4%,"No
"
126,FOLR1,2,2,484,0.4%,"No
"
127,CDH18,62,54,484,11.2%,"No
"
128,CDH17,9,9,484,1.9%,"No
"
129,FOLH1,31,28,484,5.8%,"No
"
130,CDH16,12,12,484,2.5%,"No
"
131,CDH15,6,6,484,1.2%,"No
"
132,CDH13,15,15,484,3.1%,"No
"
133,ITGA2B,6,6,484,1.2%,"No
"
134,ITGA3,5,5,484,1.0%,"No
"
135,BOD1L2,2,2,484,0.4%,"No
"
136,ITGA4,15,15,484,3.1%,"No
"
137,ITGA5,6,6,484,1.2%,"No
"
138,DYNAP,1,1,484,0.2%,"No
"
139,ITGA7,11,11,484,2.3%,"No
"
140,KCTD1,2,2,484,0.4%,"No
"
141,METTL24,6,6,484,1.2%,"No
"
142,ITGB3,16,14,484,2.9%,"No
"
143,ITGB4,21,21,484,4.3%,"No
"
144,EIF6,2,2,484,0.4%,"No
"
145,ITGB5,2,2,484,0.4%,"No
"
146,COX18,1,1,484,0.2%,"No
"
147,ITGB6,1,1,484,0.2%,"No
"
148,ITGB7,3,3,484,0.6%,"No
"
149,YIPF7,7,6,484,1.2%,"No
"
150,CDKN2C,1,1,484,0.2%,"Yes
"
151,CDKN2B,1,1,484,0.2%,"Yes
"
152,FRYL,22,22,484,4.5%,"No
"
153,CDKN2A,74,73,484,15.1%,"Yes
"
154,FPR3,7,6,484,1.2%,"No
"
155,FPR2,10,10,484,2.1%,"No
"
156,CDKN1A,3,3,484,0.6%,"Yes
"
157,FPR1,6,6,484,1.2%,"No
"
