,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,RBMXL3,1,1,86,1.2%,"No
"
1,VCAN,1,1,86,1.2%,"No
"
2,ALX1,1,1,86,1.2%,"No
"
3,ASPM,1,1,86,1.2%,"No
"
4,SBF2,1,1,86,1.2%,"No
"
5,DPYSL5,1,1,86,1.2%,"No
"
6,GNG7,1,1,86,1.2%,"No
"
7,CDC42BPG,1,1,86,1.2%,"No
"
8,TCIM,1,1,86,1.2%,"No
"
9,VASN,1,1,86,1.2%,"No
"
10,DNAH3,1,1,86,1.2%,"No
"
11,AGPAT3,1,1,86,1.2%,"No
"
12,RALGAPA1,2,2,86,2.3%,"No
"
13,FOXO1,1,1,86,1.2%,"Yes
"
14,INPPL1,2,2,86,2.3%,"Yes
"
15,SVOPL,1,1,86,1.2%,"No
"
16,OTUD7A,1,1,86,1.2%,"No
"
17,CRACDL,1,1,86,1.2%,"No
"
18,CNOT11,1,1,86,1.2%,"No
"
19,FLNA,1,1,86,1.2%,"No
"
20,FLG,3,3,86,3.5%,"No
"
21,SUPT20H,1,1,86,1.2%,"No
"
22,CSPG4,1,1,86,1.2%,"No
"
23,B4GALNT3,1,1,86,1.2%,"No
"
24,NCAN,1,1,86,1.2%,"No
"
25,STAB2,2,2,86,2.3%,"No
"
26,INSM1,1,1,86,1.2%,"No
"
27,CTCF,1,1,86,1.2%,"Yes
"
28,OPCML,1,1,86,1.2%,"No
"
29,FLNC,1,1,86,1.2%,"No
"
30,SPECC1,2,2,86,2.3%,"No
"
31,OR1D2,1,1,86,1.2%,"No
"
32,IRF4,1,1,86,1.2%,"Yes
"
33,PLCXD2,1,1,86,1.2%,"No
"
34,SLC15A4,1,1,86,1.2%,"No
"
35,CATSPERD,1,1,86,1.2%,"No
"
36,GAS2L1,1,1,86,1.2%,"No
"
37,CSTF3,1,1,86,1.2%,"No
"
38,RAB1B,1,1,86,1.2%,"No
"
39,FLT4,1,1,86,1.2%,"Yes
"
40,GPATCH2,1,1,86,1.2%,"No
"
41,PEX5,1,1,86,1.2%,"No
"
42,ANO1,1,1,86,1.2%,"No
"
43,PYGB,1,1,86,1.2%,"No
"
44,NDUFS7,1,1,86,1.2%,"No
"
45,ITGA1,1,1,86,1.2%,"No
"
46,VEZT,1,1,86,1.2%,"No
"
47,FNTA,1,1,86,1.2%,"No
"
48,LYPD3,1,1,86,1.2%,"No
"
49,CDH9,1,1,86,1.2%,"No
"
50,DYNC2I1,1,1,86,1.2%,"No
"
51,CDH8,1,1,86,1.2%,"No
"
52,LAMP3,1,1,86,1.2%,"No
"
53,CDH6,1,1,86,1.2%,"No
"
54,FN1,1,1,86,1.2%,"No
"
55,SLC6A15,1,1,86,1.2%,"No
"
56,ZNF740,1,1,86,1.2%,"No
"
57,SPATA31D1,2,2,86,2.3%,"No
"
58,OR3A2,1,1,86,1.2%,"No
"
59,VPS41,1,1,86,1.2%,"No
"
60,TSPYL2,1,1,86,1.2%,"No
"
61,ADAMTS18,1,1,86,1.2%,"No
"
62,CDH11,1,1,86,1.2%,"Yes
"
63,CYP4X1,1,1,86,1.2%,"No
"
64,LHPP,1,1,86,1.2%,"No
"
65,C5ORF24,1,1,86,1.2%,"No
"
