,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,STPG2,2,2,523,0.4%,"No
"
1,KRT6C,2,2,523,0.4%,"No
"
2,ASPM,11,11,523,2.1%,"No
"
3,FOXM1,3,3,523,0.6%,"No
"
4,FOXC2,1,1,523,0.2%,"No
"
5,FOXJ1,1,1,523,0.2%,"No
"
6,LAMA1,14,13,523,2.5%,"No
"
7,FOXL1,2,2,523,0.4%,"No
"
8,INPP4A,4,4,523,0.8%,"Yes
"
9,INPP5B,3,3,523,0.6%,"No
"
10,FOXO3,2,2,523,0.4%,"Yes
"
11,INPP5D,8,8,523,1.5%,"Yes
"
12,FOXO1,1,1,523,0.2%,"Yes
"
13,INPPL1,4,4,523,0.8%,"Yes
"
14,OGDH,6,6,523,1.1%,"No
"
15,TNFRSF11B,4,4,523,0.8%,"No
"
16,FLNB,10,9,523,1.7%,"No
"
17,A1BG,2,2,523,0.4%,"No
"
18,FLNA,7,6,523,1.1%,"No
"
19,A2M,2,2,523,0.4%,"No
"
20,MLANA,2,2,523,0.4%,"No
"
21,FLII,1,1,523,0.2%,"No
"
22,FLI1,2,2,523,0.4%,"Yes
"
23,METRNL,1,1,523,0.2%,"No
"
24,FLG,37,30,523,5.7%,"No
"
25,OLR1,1,1,523,0.2%,"No
"
26,INSR,14,11,523,2.1%,"Yes
"
27,OMG,2,2,523,0.4%,"No
"
28,INSRR,7,7,523,1.3%,"No
"
29,OPA1,3,3,523,0.6%,"No
"
30,EIF3E,4,4,523,0.8%,"Yes
"
31,OPCML,4,4,523,0.8%,"No
"
32,FLNC,10,10,523,1.9%,"No
"
33,IRF2,4,4,523,0.8%,"Yes
"
34,IRF3,1,1,523,0.2%,"No
"
35,OR1F1,1,1,523,0.2%,"No
"
36,IRF4,6,5,523,1.0%,"Yes
"
37,OR2C1,2,2,523,0.4%,"No
"
38,CDH2,7,7,523,1.3%,"No
"
39,FMO5,1,1,523,0.2%,"No
"
40,FMO3,2,2,523,0.4%,"No
"
41,FMO2,2,2,523,0.4%,"No
"
42,FLT4,2,2,523,0.4%,"Yes
"
43,FLT3,5,4,523,0.8%,"Yes
"
44,FLT1,11,9,523,1.7%,"Yes
"
45,IPP,5,5,523,1.0%,"No
"
46,OPHN1,3,3,523,0.6%,"No
"
47,IRAK1,2,2,523,0.4%,"No
"
48,OPRD1,1,1,523,0.2%,"No
"
49,ITGA6,5,5,523,1.0%,"No
"
50,OPRK1,1,1,523,0.2%,"No
"
51,IRAK2,2,2,523,0.4%,"No
"
52,OPRL1,1,1,523,0.2%,"No
"
53,OPRM1,2,1,523,0.2%,"No
"
54,IREB2,2,2,523,0.4%,"No
"
55,FMO4,4,4,523,0.8%,"No
"
56,IRF1,2,2,523,0.4%,"Yes
"
57,ISL1,1,1,523,0.2%,"No
"
58,ISLR,1,1,523,0.2%,"No
"
59,ITGA1,3,3,523,0.6%,"No
"
60,ITGA2,6,6,523,1.1%,"No
"
61,FNTB,1,1,523,0.2%,"No
"
62,CDH12,6,6,523,1.1%,"No
"
63,CDH10,11,11,523,2.1%,"No
"
64,FNTA,3,3,523,0.6%,"No
"
65,CDH9,4,4,523,0.8%,"No
"
66,CDH8,5,5,523,1.0%,"No
"
67,CDH7,5,5,523,1.0%,"No
"
68,CDH6,5,5,523,1.0%,"No
"
69,FN1,8,7,523,1.3%,"No
"
70,CDH5,3,3,523,0.6%,"No
"
71,AFF2,7,7,523,1.3%,"No
"
72,CDH4,3,3,523,0.6%,"No
"
73,MRGPRX1,2,2,523,0.4%,"No
"
74,CDH3,1,1,523,0.2%,"No
"
75,FMR1,3,3,523,0.6%,"No
"
76,OR3A1,1,1,523,0.2%,"No
"
77,IRF6,4,4,523,0.8%,"No
"
78,OR3A2,2,2,523,0.4%,"No
"
79,IRS1,9,6,523,1.1%,"Yes
"
80,ORC1,3,3,523,0.6%,"No
"
81,ORC2,2,2,523,0.4%,"No
"
82,SH3PXD2B,6,6,523,1.1%,"No
"
83,CDH11,7,6,523,1.1%,"Yes
"
84,CYP4X1,2,2,523,0.4%,"No
"
85,ITGA9,1,1,523,0.2%,"No
"
86,ITGAD,6,5,523,1.0%,"No
"
87,ITGAE,6,6,523,1.1%,"No
"
88,ITGAL,6,6,523,1.1%,"No
"
89,ITGAM,1,1,523,0.2%,"No
"
90,CDK7,2,2,523,0.4%,"No
"
91,FOS,1,1,523,0.2%,"No
"
92,GPRIN3,7,7,523,1.3%,"No
"
93,FOLR3,1,1,523,0.2%,"No
"
94,FOLR2,2,2,523,0.4%,"No
"
95,CDK4,2,2,523,0.4%,"Yes
"
96,CDK2,2,2,523,0.4%,"No
"
97,FOLR1,3,3,523,0.6%,"No
"
98,CDH18,7,6,523,1.1%,"No
"
99,CDH17,5,5,523,1.0%,"No
"
100,FOLH1,1,1,523,0.2%,"No
"
101,CDH16,3,3,523,0.6%,"No
"
102,CDH15,2,2,523,0.4%,"No
"
103,CDH13,2,1,523,0.2%,"No
"
104,ITGA2B,2,2,523,0.4%,"No
"
105,ITGA3,4,4,523,0.8%,"No
"
106,ITGA4,5,5,523,1.0%,"No
"
107,ITGA5,9,5,523,1.0%,"No
"
108,DYNAP,3,3,523,0.6%,"No
"
109,ITGA7,3,3,523,0.6%,"No
"
110,ITGB4,6,6,523,1.1%,"No
"
111,EIF6,2,2,523,0.4%,"No
"
112,ITGB5,2,2,523,0.4%,"No
"
113,COX18,1,1,523,0.2%,"No
"
114,ITGB6,4,4,523,0.8%,"No
"
115,ITGB7,2,2,523,0.4%,"No
"
116,CDKN2D,2,1,523,0.2%,"No
"
117,YIPF7,1,1,523,0.2%,"No
"
118,CDKN2C,3,3,523,0.6%,"Yes
"
119,FRYL,10,7,523,1.3%,"No
"
120,CDKN2A,3,3,523,0.6%,"Yes
"
121,FPR3,3,3,523,0.6%,"No
"
122,CDKN1B,3,3,523,0.6%,"Yes
"
123,CDKN1A,1,1,523,0.2%,"Yes
"
124,FPR1,1,1,523,0.2%,"No
"
125,FPGS,2,2,523,0.4%,"No
"
126,CDK8,3,3,523,0.6%,"Yes
"
127,FOSL2,3,3,523,0.6%,"No
"
128,FOSB,2,2,523,0.4%,"No
"
129,ITGAV,3,3,523,0.6%,"No
"
130,ITGAX,4,4,523,0.8%,"No
"
131,ITGB2,4,4,523,0.8%,"No
"
132,MDS2,3,3,523,0.6%,"Yes
"
133,BOD1L1,7,6,523,1.1%,"No
"
134,RNF175,1,1,523,0.2%,"No
"
135,CDX1,1,1,523,0.2%,"No
"
136,TAS2R43,2,2,523,0.4%,"No
"
137,CDS1,1,1,523,0.2%,"No
"
138,TAS2R41,2,2,523,0.4%,"No
"
139,TAS2R40,2,2,523,0.4%,"No
"
140,CDR2,1,1,523,0.2%,"No
"
141,ITGB8,1,1,523,0.2%,"No
"
142,ITIH1,5,5,523,1.0%,"No
"
143,ITIH2,4,4,523,0.8%,"No
"
144,ITIH3,5,5,523,1.0%,"No
"
145,TAS2R46,1,1,523,0.2%,"No
"
146,TAS2R31,1,1,523,0.2%,"No
"
147,CEBPG,1,1,523,0.2%,"No
"
148,CEBPE,3,3,523,0.6%,"No
"
149,DNLZ,1,1,523,0.2%,"No
"
150,TAS2R50,4,4,523,0.8%,"No
"
151,TAS2R20,2,2,523,0.4%,"No
"
152,CEACAM5,4,4,523,0.8%,"No
"
153,CLGN,3,3,523,0.6%,"No
"
154,CDX2,2,2,523,0.4%,"Yes
"
155,RDH8,5,5,523,1.0%,"No
"
156,CARD18,1,1,523,0.2%,"No
"
157,CES1,3,3,523,0.6%,"No
"
158,CENPF,9,8,523,1.5%,"No
"
159,CENPE,7,7,523,1.3%,"No
"
160,ENPP5,1,1,523,0.2%,"No
"
161,CENPC,3,2,523,0.4%,"No
"
162,PRDM4,3,3,523,0.6%,"No
"
163,PRDM5,1,1,523,0.2%,"No
"
164,CENPB,1,1,523,0.2%,"No
"
165,TXNRD3,1,1,523,0.2%,"No
"
166,CEL,1,1,523,0.2%,"No
"
167,MICALL1,1,1,523,0.2%,"No
"
168,TUBGCP6,8,8,523,1.5%,"No
"
169,ATE1,1,1,523,0.2%,"No
"
170,PTCHD1,3,3,523,0.6%,"No
"
171,SSC5D,1,1,523,0.2%,"No
"
172,PRDM7,3,3,523,0.6%,"No
"
173,HMSD,1,1,523,0.2%,"No
"
174,CTSC,2,2,523,0.4%,"No
"
175,UHRF2,1,1,523,0.2%,"No
"
176,CETP,1,1,523,0.2%,"No
"
177,KIAA1549L,7,6,523,1.1%,"No
"
178,BTN3A1,2,2,523,0.4%,"No
"
179,BTN3A2,1,1,523,0.2%,"No
"
180,FRG2B,1,1,523,0.2%,"No
"
181,CETN2,1,1,523,0.2%,"No
"
182,CETN1,1,1,523,0.2%,"No
"
