,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,KRT6C,1,1,178,0.6%,"No
"
1,VCAN,1,1,178,0.6%,"No
"
2,LGALS14,1,1,178,0.6%,"No
"
3,DNAH3,1,1,178,0.6%,"No
"
4,ACER2,1,1,178,0.6%,"No
"
5,SVOPL,1,1,178,0.6%,"No
"
6,KRT72,1,1,178,0.6%,"No
"
7,CST5,1,1,178,0.6%,"No
"
8,FLNB,1,1,178,0.6%,"No
"
9,A2M,1,1,178,0.6%,"No
"
10,FLG,1,1,178,0.6%,"No
"
11,SUPT20H,1,1,178,0.6%,"No
"
12,NAGK,2,1,178,0.6%,"No
"
13,STAB2,1,1,178,0.6%,"No
"
14,CTCF,1,1,178,0.6%,"Yes
"
15,ABCD3,1,1,178,0.6%,"No
"
16,ZNF425,1,1,178,0.6%,"No
"
17,ALDH1L2,1,1,178,0.6%,"No
"
18,FMOD,1,1,178,0.6%,"No
"
19,FMO3,1,1,178,0.6%,"No
"
20,RAD51AP1,1,1,178,0.6%,"No
"
21,CHRNA9,1,1,178,0.6%,"No
"
22,RGS14,1,1,178,0.6%,"No
"
23,LDLRAD2,1,1,178,0.6%,"No
"
24,CSTF1,2,2,178,1.1%,"No
"
25,PTCRA,1,1,178,0.6%,"No
"
26,FLT1,1,1,178,0.6%,"Yes
"
27,PEX5,1,1,178,0.6%,"No
"
28,ZBTB47,1,1,178,0.6%,"No
"
29,PYGB,1,1,178,0.6%,"No
"
30,NDUFS7,1,1,178,0.6%,"No
"
31,PDPN,1,1,178,0.6%,"No
"
32,NLRP12,1,1,178,0.6%,"No
"
33,MYADM,1,1,178,0.6%,"No
"
34,MMP27,1,1,178,0.6%,"No
"
35,ZNF845,1,1,178,0.6%,"No
"
36,CTH,1,1,178,0.6%,"No
"
37,VEZT,1,1,178,0.6%,"No
"
38,OR4K1,1,1,178,0.6%,"No
"
39,TSPAN13,1,1,178,0.6%,"No
"
40,SPATA31D1,1,1,178,0.6%,"No
"
41,IRF7,1,1,178,0.6%,"No
"
