,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,STPG2,2,2,494,0.4%,"No
"
1,KRT6C,3,3,494,0.6%,"No
"
2,MDM1,1,1,494,0.2%,"No
"
3,LGALS14,1,1,494,0.2%,"No
"
4,ASPM,4,4,494,0.8%,"No
"
5,SBF2,5,4,494,0.8%,"No
"
6,FOXD2,3,3,494,0.6%,"No
"
7,INSIG1,1,1,494,0.2%,"No
"
8,DPYSL5,1,1,494,0.2%,"No
"
9,FOXM1,4,4,494,0.8%,"No
"
10,FOXC2,1,1,494,0.2%,"No
"
11,CDC42BPG,4,3,494,0.6%,"No
"
12,ANKS1B,3,2,494,0.4%,"No
"
13,GALNT10,4,3,494,0.6%,"No
"
14,DNAH3,12,10,494,2.0%,"No
"
15,UBQLN4,2,2,494,0.4%,"No
"
16,LAMA1,5,5,494,1.0%,"No
"
17,FOXL1,3,3,494,0.6%,"No
"
18,KRTAP1-3,1,1,494,0.2%,"No
"
19,TPH2,1,1,494,0.2%,"No
"
20,AGPAT4,2,2,494,0.4%,"No
"
21,INPP4A,3,2,494,0.4%,"Yes
"
22,INPP5A,1,1,494,0.2%,"No
"
23,INPP5B,2,2,494,0.4%,"No
"
24,FOXO3,2,2,494,0.4%,"Yes
"
25,INPP5D,2,2,494,0.4%,"Yes
"
26,FOXO1,1,1,494,0.2%,"Yes
"
27,INPPL1,3,3,494,0.6%,"Yes
"
28,OGG1,1,1,494,0.2%,"No
"
29,TNFRSF11B,2,2,494,0.4%,"No
"
30,ZNF641,1,1,494,0.2%,"No
"
31,FLNB,6,3,494,0.6%,"No
"
32,A1BG,1,1,494,0.2%,"No
"
33,FLNA,1,1,494,0.2%,"No
"
34,A2M,2,2,494,0.4%,"No
"
35,FLII,3,3,494,0.6%,"No
"
36,FOXRED1,1,1,494,0.2%,"No
"
37,TRIM56,3,3,494,0.6%,"No
"
38,FLI1,2,2,494,0.4%,"Yes
"
39,METRNL,1,1,494,0.2%,"No
"
40,FLG,10,10,494,2.0%,"No
"
41,SUPT20H,1,1,494,0.2%,"No
"
42,NAGK,1,1,494,0.2%,"No
"
43,STAB2,9,9,494,1.8%,"No
"
44,INSM1,1,1,494,0.2%,"No
"
45,OMP,2,2,494,0.4%,"No
"
46,INSRR,4,4,494,0.8%,"No
"
47,OPA1,2,2,494,0.4%,"No
"
48,OPCML,3,3,494,0.6%,"No
"
49,FLNC,6,4,494,0.8%,"No
"
50,SPECC1,2,2,494,0.4%,"No
"
51,IRF2,1,1,494,0.2%,"Yes
"
52,OR1D2,1,1,494,0.2%,"No
"
53,IRF4,4,4,494,0.8%,"Yes
"
54,OR2C1,2,2,494,0.4%,"No
"
55,CDH2,2,1,494,0.2%,"No
"
