,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,FAM200B,1,1,255,0.4%,"No
"
1,OCLN,1,1,255,0.4%,"No
"
2,STPG2,1,1,255,0.4%,"No
"
3,KRT6C,2,2,255,0.8%,"No
"
4,ST6GALNAC5,1,1,255,0.4%,"No
"
5,MDM1,2,2,255,0.8%,"No
"
6,LGALS14,1,1,255,0.4%,"No
"
7,ASPM,2,2,255,0.8%,"No
"
8,SBF2,2,2,255,0.8%,"No
"
9,SPRY4,1,1,255,0.4%,"No
"
10,OGN,1,1,255,0.4%,"No
"
11,DPYSL5,3,3,255,1.2%,"No
"
12,FOXM1,1,1,255,0.4%,"No
"
13,BDH2,2,2,255,0.8%,"No
"
14,CDC42BPG,1,1,255,0.4%,"No
"
15,ANKS1B,4,1,255,0.4%,"No
"
16,GALNT10,2,2,255,0.8%,"No
"
17,DNAH3,7,6,255,2.4%,"No
"
18,OR10AD1,1,1,255,0.4%,"No
"
19,LAMA1,5,5,255,2.0%,"No
"
20,FOXL1,1,1,255,0.4%,"No
"
21,TPH2,4,4,255,1.6%,"No
"
22,ZNF821,1,1,255,0.4%,"No
"
23,INPP4A,1,1,255,0.4%,"Yes
"
24,INPP5A,1,1,255,0.4%,"No
"
25,INPP5D,7,7,255,2.7%,"Yes
"
26,INPPL1,2,2,255,0.8%,"Yes
"
27,OGG1,1,1,255,0.4%,"No
"
28,VANGL1,2,2,255,0.8%,"No
"
29,ZNF641,1,1,255,0.4%,"No
"
30,FLNB,3,3,255,1.2%,"No
"
31,A1BG,1,1,255,0.4%,"No
"
32,FLNA,5,5,255,2.0%,"No
"
33,A2M,4,3,255,1.2%,"No
"
34,A2MP1,1,1,255,0.4%,"No
"
35,FLII,1,1,255,0.4%,"No
"
36,TRIM56,1,1,255,0.4%,"No
"
37,FLG,11,10,255,3.9%,"No
"
38,SUPT20H,2,2,255,0.8%,"No
"
39,STAB2,5,5,255,2.0%,"No
"
40,INSL4,2,2,255,0.8%,"No
"
41,OMG,1,1,255,0.4%,"No
"
42,OPA1,1,1,255,0.4%,"No
"
43,FLOT2,1,1,255,0.4%,"No
"
44,OPCML,2,2,255,0.8%,"No
"
45,FLNC,5,5,255,2.0%,"No
"
46,SPECC1,2,2,255,0.8%,"No
"
47,OR1D2,1,1,255,0.4%,"No
"
48,IRF3,1,1,255,0.4%,"No
"
49,OR1F1,1,1,255,0.4%,"No
"
50,FMOD,2,2,255,0.8%,"No
"
51,FMO5,1,1,255,0.4%,"No
"
52,KIF27,2,2,255,0.8%,"No
"
53,FMO2,2,2,255,0.8%,"No
"
54,ISG20L2,1,1,255,0.4%,"No
"
55,CHRNA9,4,4,255,1.6%,"No
"
56,FLT4,4,4,255,1.6%,"Yes
"
57,KRTAP9-9,1,1,255,0.4%,"No
"
58,FLT3LG,3,1,255,0.4%,"No
"
59,KRTAP4-6,1,1,255,0.4%,"No
"
60,TMEM132D,5,5,255,2.0%,"No
"
61,FLT1,2,2,255,0.8%,"Yes
"
62,IPP,1,1,255,0.4%,"No
"
63,OPHN1,1,1,255,0.4%,"No
"
64,IRAK1,1,1,255,0.4%,"No
"
65,ITGA6,2,2,255,0.8%,"No
"
66,IRAK2,2,2,255,0.8%,"No
"
67,OPRM1,1,1,255,0.4%,"No
"
68,FMO4,1,1,255,0.4%,"No
"
69,ISL1,1,1,255,0.4%,"No
"
70,ITGA1,2,2,255,0.8%,"No
"
71,ITGA2,2,2,255,0.8%,"No
"
72,CDH12,5,5,255,2.0%,"No
"
73,MIPOL1,2,2,255,0.8%,"No
"
74,ZNF611,2,2,255,0.8%,"No
"
75,MED25,4,4,255,1.6%,"No
"
76,VEZT,1,1,255,0.4%,"No
"
77,SHARPIN,1,1,255,0.4%,"No
"
78,CDH10,4,4,255,1.6%,"No
"
79,CDH9,3,3,255,1.2%,"No
"
80,ZCCHC8,2,2,255,0.8%,"No
"
81,CDH8,3,2,255,0.8%,"No
"
82,OR4K1,2,2,255,0.8%,"No
"
83,CDH7,3,3,255,1.2%,"No
"
84,FN1,3,3,255,1.2%,"No
"
85,CDH5,2,2,255,0.8%,"No
"
86,AFF2,6,6,255,2.4%,"No
"
87,CDH4,3,2,255,0.8%,"No
"
88,FMR1,2,2,255,0.8%,"No
"
89,IRF6,1,1,255,0.4%,"No
"
90,IRS1,2,2,255,0.8%,"Yes
"
91,ORC1,1,1,255,0.4%,"No
"
92,ORC2,1,1,255,0.4%,"No
"
93,SH3PXD2B,2,2,255,0.8%,"No
"
94,CDH11,2,2,255,0.8%,"Yes
"
95,FAAH2,2,2,255,0.8%,"No
"
96,ITGAD,4,4,255,1.6%,"No
"
97,ITGAM,3,3,255,1.2%,"No
"
98,GPRIN3,5,5,255,2.0%,"No
"
99,CDK5,2,2,255,0.8%,"No
"
100,FOLR2,1,1,255,0.4%,"No
"
101,KASH5,1,1,255,0.4%,"No
"
102,TTC13,2,2,255,0.8%,"No
"
103,CDK4,1,1,255,0.4%,"Yes
"
104,CDK3,1,1,255,0.4%,"No
"
105,CDK2,1,1,255,0.4%,"No
"
106,CDC73,1,1,255,0.4%,"Yes
"
107,CDH18,3,3,255,1.2%,"No
"
108,CDH17,1,1,255,0.4%,"No
"
109,FOLH1,2,1,255,0.4%,"No
"
110,CDH16,1,1,255,0.4%,"No
"
111,CDH15,1,1,255,0.4%,"No
"
112,SLC25A28,1,1,255,0.4%,"No
"
113,ITGA2B,1,1,255,0.4%,"No
"
114,BOD1L2,2,2,255,0.8%,"No
"
115,ITGA4,2,2,255,0.8%,"No
"
116,ITGA5,1,1,255,0.4%,"No
"
117,ITGB3,1,1,255,0.4%,"No
"
118,ITGB4,5,5,255,2.0%,"No
"
119,ITGB6,1,1,255,0.4%,"No
"
120,ITGB7,2,2,255,0.8%,"No
"
121,CDKN2D,1,1,255,0.4%,"No
"
122,YIPF7,1,1,255,0.4%,"No
"
123,FRYL,2,2,255,0.8%,"No
"
124,CDKN2A,1,1,255,0.4%,"Yes
"
125,FPR3,1,1,255,0.4%,"No
"
126,ZNF688,1,1,255,0.4%,"No
"
127,CDKN1A,2,2,255,0.8%,"Yes
"
128,FPR1,1,1,255,0.4%,"No
"
129,RIPOR1,1,1,255,0.4%,"No
"
130,FOSL2,1,1,255,0.4%,"No
"
131,PRSS36,1,1,255,0.4%,"No
"
132,ITGAV,3,3,255,1.2%,"No
"
133,ITGAX,3,3,255,1.2%,"No
"
134,ITGB2,1,1,255,0.4%,"No
"
135,BOD1L1,4,4,255,1.6%,"No
"
136,ARMH3,2,2,255,0.8%,"No
"
137,CDS1,2,2,255,0.8%,"No
"
138,DNAAF8,1,1,255,0.4%,"No
"
139,TAS2R40,1,1,255,0.4%,"No
"
140,DUSP29,1,1,255,0.4%,"No
"
141,SAP130,2,2,255,0.8%,"No
"
142,TAS2R39,1,1,255,0.4%,"No
"
143,OBI1,1,1,255,0.4%,"No
"
144,CEP97,1,1,255,0.4%,"No
"
145,RDH12,1,1,255,0.4%,"No
"
146,ITGB8,2,2,255,0.8%,"No
"
147,ITIH1,6,3,255,1.2%,"No
"
148,ITIH2,3,3,255,1.2%,"No
"
149,CCDC122,1,1,255,0.4%,"No
"
150,DGKH,2,2,255,0.8%,"No
"
151,TAS2R31,1,1,255,0.4%,"No
"
152,CEBPE,1,1,255,0.4%,"No
"
153,SLC52A2,1,1,255,0.4%,"No
"
154,TMEM231,1,1,255,0.4%,"No
"
