,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,STPG2,27,25,440,5.7%,"No
"
1,INSL3,3,3,440,0.7%,"No
"
2,KRT6C,21,21,440,4.8%,"No
"
3,ASPM,67,52,440,11.8%,"No
"
4,INSIG1,9,9,440,2.0%,"No
"
5,OGN,6,6,440,1.4%,"No
"
6,FOXM1,14,14,440,3.2%,"No
"
7,FOXE1,3,3,440,0.7%,"No
"
8,FOXC2,12,12,440,2.7%,"No
"
9,FOXJ1,8,8,440,1.8%,"No
"
10,FOXE3,1,1,440,0.2%,"No
"
11,LAMA1,101,76,440,17.3%,"No
"
12,FOXL1,8,8,440,1.8%,"No
"
13,INS,1,1,440,0.2%,"No
"
14,INPP4A,20,20,440,4.5%,"Yes
"
15,INPP5A,11,11,440,2.5%,"No
"
16,INPP5B,18,16,440,3.6%,"No
"
17,FOXO3,10,10,440,2.3%,"Yes
"
18,INPP5D,59,43,440,9.8%,"Yes
"
19,FOXO1,16,15,440,3.4%,"Yes
"
20,INPPL1,36,32,440,7.3%,"Yes
"
21,OGDH,25,22,440,5.0%,"No
"
22,FOXS1,20,18,440,4.1%,"No
"
23,OGG1,11,10,440,2.3%,"No
"
24,PDX1,5,5,440,1.1%,"No
"
25,TNFRSF11B,21,21,440,4.8%,"No
"
26,FLNB,107,88,440,20.0%,"No
"
27,A1BG,7,7,440,1.6%,"No
"
28,FLNA,64,54,440,12.3%,"No
"
29,A2M,69,56,440,12.7%,"No
"
30,MLANA,4,4,440,0.9%,"No
"
31,FLII,17,17,440,3.9%,"No
"
32,FLI1,17,12,440,2.7%,"Yes
"
33,METRNL,6,6,440,1.4%,"No
"
34,FLG,331,150,440,34.1%,"No
"
35,INSL4,10,10,440,2.3%,"No
"
36,NAT1,7,6,440,1.4%,"No
"
37,INSM1,5,5,440,1.1%,"No
"
38,OLR1,9,9,440,2.0%,"No
"
39,INSR,26,24,440,5.5%,"Yes
"
40,OMG,5,5,440,1.1%,"No
"
41,OMP,8,8,440,1.8%,"No
"
42,INSRR,71,60,440,13.6%,"No
"
43,OPA1,13,12,440,2.7%,"No
"
44,EIF3E,8,8,440,1.8%,"Yes
"
45,FLOT2,4,4,440,0.9%,"No
"
46,OPCML,20,18,440,4.1%,"No
"
47,FLNC,134,95,440,21.6%,"No
"
48,SIX6,5,5,440,1.1%,"No
"
49,IRF2,12,12,440,2.7%,"Yes
"
50,OR1D2,20,20,440,4.5%,"No
"
51,IRF3,9,8,440,1.8%,"No
"
52,OR1F1,15,15,440,3.4%,"No
"
53,IRF4,15,15,440,3.4%,"Yes
"
54,OR2C1,16,16,440,3.6%,"No
"
55,CDH2,40,31,440,7.0%,"No
"
56,FMOD,15,15,440,3.4%,"No
"
57,FMO5,11,11,440,2.5%,"No
"
58,WFDC9,4,4,440,0.9%,"No
"
59,FMO3,50,44,440,10.0%,"No
"
60,FMO2,28,25,440,5.7%,"No
"
61,FMO1,48,38,440,8.6%,"No
"
62,FLT4,67,51,440,11.6%,"Yes
"
63,FLT3LG,3,3,440,0.7%,"No
"
64,WFDC11,4,4,440,0.9%,"No
"
65,FLT3,56,48,440,10.9%,"Yes
"
66,FLT1,73,55,440,12.5%,"Yes
"
67,IPP,9,9,440,2.0%,"No
"
68,OPHN1,23,18,440,4.1%,"No
"
69,IRAK1,13,13,440,3.0%,"No
"
70,OPRD1,11,10,440,2.3%,"No
"
71,ITGA6,26,24,440,5.5%,"No
"
72,OPRK1,36,30,440,6.8%,"No
"
73,IRAK2,25,21,440,4.8%,"No
"
74,OPRL1,13,13,440,3.0%,"No
"
75,OPRM1,14,14,440,3.2%,"No
"
76,IREB2,23,21,440,4.8%,"No
"
77,FMO4,19,19,440,4.3%,"No
"
78,IRF1,5,4,440,0.9%,"Yes
"
79,ISL1,15,15,440,3.4%,"No
"
80,ISLR,18,15,440,3.4%,"No
"
81,ITGA1,36,32,440,7.3%,"No
"
82,ITGA2,48,39,440,8.9%,"No
"
83,FNTB,2,2,440,0.5%,"No
"
84,CDH12,65,53,440,12.0%,"No
"
