,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,OCLN,1,1,490,0.2%,"No
"
1,STPG2,1,1,490,0.2%,"No
"
2,MDM1,1,1,490,0.2%,"No
"
3,RNF146,2,1,490,0.2%,"No
"
4,FOXD2,1,1,490,0.2%,"No
"
5,DPYSL5,3,3,490,0.6%,"No
"
6,FOXE1,1,1,490,0.2%,"No
"
7,CELF2,1,1,490,0.2%,"No
"
8,CDC42BPG,1,1,490,0.2%,"No
"
9,ANKS1B,1,1,490,0.2%,"No
"
10,FOXJ1,1,1,490,0.2%,"No
"
11,DNAH3,4,4,490,0.8%,"No
"
12,LAMA1,1,1,490,0.2%,"No
"
13,TPH2,1,1,490,0.2%,"No
"
14,CEP95,1,1,490,0.2%,"No
"
15,INPP5D,1,1,490,0.2%,"Yes
"
16,STAC2,1,1,490,0.2%,"No
"
17,FOXO1,1,1,490,0.2%,"Yes
"
18,KRTAP27-1,1,1,490,0.2%,"No
"
19,SVOPL,2,2,490,0.4%,"No
"
20,VANGL1,2,2,490,0.4%,"No
"
21,SERPINA12,1,1,490,0.2%,"No
"
22,FLNB,3,3,490,0.6%,"No
"
23,FLNA,1,1,490,0.2%,"No
"
24,A2M,1,1,490,0.2%,"No
"
25,FLII,2,2,490,0.4%,"No
"
26,METRNL,1,1,490,0.2%,"No
"
27,FLG,2,2,490,0.4%,"No
"
28,SUPT20H,1,1,490,0.2%,"No
"
29,STAB2,3,3,490,0.6%,"No
"
30,OLR1,1,1,490,0.2%,"No
"
31,INSR,3,2,490,0.4%,"Yes
"
32,OMP,1,1,490,0.2%,"No
"
33,INSRR,2,2,490,0.4%,"No
"
34,CTCF,1,1,490,0.2%,"Yes
"
35,EIF3E,1,1,490,0.2%,"Yes
"
36,FLOT2,1,1,490,0.2%,"No
"
37,OPCML,1,1,490,0.2%,"No
"
38,FLNC,4,4,490,0.8%,"No
"
39,SPECC1,1,1,490,0.2%,"No
"
40,IRF3,1,1,490,0.2%,"No
"
41,FBXW10B,1,1,490,0.2%,"No
"
42,IRF4,1,1,490,0.2%,"Yes
"
43,OR2C1,1,1,490,0.2%,"No
"
44,FMOD,1,1,490,0.2%,"No
"
45,GPR141,1,1,490,0.2%,"No
"
46,KIF27,1,1,490,0.2%,"No
"
47,FMO3,1,1,490,0.2%,"No
"
48,RAD51AP1,1,1,490,0.2%,"No
"
49,UBE2Q1,1,1,490,0.2%,"No
"
50,FMO1,1,1,490,0.2%,"No
"
51,CHRNA9,1,1,490,0.2%,"No
"
52,FLT4,1,1,490,0.2%,"Yes
"
53,FLT3LG,1,1,490,0.2%,"No
"
54,KRTAP4-6,1,1,490,0.2%,"No
"
55,TMEM132D,3,3,490,0.6%,"No
"
56,FLT1,1,1,490,0.2%,"Yes
"
57,ILDR2,1,1,490,0.2%,"No
"
58,OPRL1,1,1,490,0.2%,"No
"
59,POSTN,2,2,490,0.4%,"No
"
60,PNPT1,1,1,490,0.2%,"No
"
61,FMO4,1,1,490,0.2%,"No
"
62,ATP5MG,1,1,490,0.2%,"No
"
63,FNTB,1,1,490,0.2%,"No
"
64,CDH12,3,3,490,0.6%,"No
"
65,OTUD5,2,2,490,0.4%,"No
"
66,ZNF611,1,1,490,0.2%,"No
"
67,DIPK2A,1,1,490,0.2%,"No
"
68,MED25,1,1,490,0.2%,"No
"
69,VEZT,1,1,490,0.2%,"No
"
70,CDH9,1,1,490,0.2%,"No
"
71,ZCCHC8,1,1,490,0.2%,"No
"
72,CDH8,3,3,490,0.6%,"No
"
73,CDH7,3,3,490,0.6%,"No
"
74,CDH6,1,1,490,0.2%,"No
"
75,FN1,3,2,490,0.4%,"No
"
76,CDH5,2,2,490,0.4%,"No
"
77,AFF2,2,2,490,0.4%,"No
"
78,CDH4,2,2,490,0.4%,"No
"
79,FMR1,1,1,490,0.2%,"No
"
