,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,FAM200B,1,1,123,0.8%,"No
"
1,BOC,1,1,123,0.8%,"No
"
2,RNF146,2,2,123,1.6%,"No
"
3,DPYSL5,1,1,123,0.8%,"No
"
4,PVR,2,2,123,1.6%,"No
"
5,KHDRBS3,1,1,123,0.8%,"No
"
6,TMEM14B,1,1,123,0.8%,"No
"
7,CDC42BPG,1,1,123,0.8%,"No
"
8,ANKS1B,1,1,123,0.8%,"No
"
9,DNAH3,3,3,123,2.4%,"No
"
10,LAMA1,1,1,123,0.8%,"No
"
11,GNB3,1,1,123,0.8%,"No
"
12,ATP11C,1,1,123,0.8%,"No
"
13,TNFRSF11B,1,1,123,0.8%,"No
"
14,GSC,1,1,123,0.8%,"No
"
15,A1BG,1,1,123,0.8%,"No
"
16,FLNA,1,1,123,0.8%,"No
"
17,PXN,1,1,123,0.8%,"No
"
18,FLII,1,1,123,0.8%,"No
"
19,TRIM56,1,1,123,0.8%,"No
"
20,FLI1,1,1,123,0.8%,"Yes
"
21,FLG,2,1,123,0.8%,"No
"
22,NCAN,1,1,123,0.8%,"No
"
23,STAB2,3,3,123,2.4%,"No
"
24,CTCF,1,1,123,0.8%,"Yes
"
25,OPCML,1,1,123,0.8%,"No
"
26,CD226,1,1,123,0.8%,"No
"
27,FLNC,1,1,123,0.8%,"No
"
28,ABCD4,1,1,123,0.8%,"No
"
29,SPECC1,2,2,123,1.6%,"No
"
30,IRF3,1,1,123,0.8%,"No
"
31,IRF4,1,1,123,0.8%,"Yes
"
32,FMOD,1,1,123,0.8%,"No
"
33,MTAP,1,1,123,0.8%,"Yes
"
34,FLT4,1,1,123,0.8%,"Yes
"
35,STAU2,1,1,123,0.8%,"No
"
36,TMEM132D,1,1,123,0.8%,"No
"
37,CST6,1,1,123,0.8%,"No
"
38,PEX5,1,1,123,0.8%,"No
"
39,OPRD1,2,2,123,1.6%,"No
"
40,ZBTB47,1,1,123,0.8%,"No
"
41,ANO1,1,1,123,0.8%,"No
"
42,OPRL1,1,1,123,0.8%,"No
"
43,POSTN,1,1,123,0.8%,"No
"
44,OPRM1,1,1,123,0.8%,"No
"
45,PYGM,1,1,123,0.8%,"No
"
46,NLRP12,1,1,123,0.8%,"No
"
47,GPR180,1,1,123,0.8%,"No
"
48,MTF1,1,1,123,0.8%,"No
"
49,MED25,1,1,123,0.8%,"No
"
50,BRINP3,1,1,123,0.8%,"No
"
51,PABPN1L,1,1,123,0.8%,"No
"
52,FN1,1,1,123,0.8%,"No
"
53,ANTXRL,1,1,123,0.8%,"No
"
54,SOGA3,1,1,123,0.8%,"No
"
55,GOLGA6C,1,1,123,0.8%,"No
"
56,IRF5,1,1,123,0.8%,"No
"
57,OR3A1,1,1,123,0.8%,"No
"
58,IGF2BP1,1,1,123,0.8%,"No
"
59,C12ORF50,1,1,123,0.8%,"No
"
60,CDH11,1,1,123,0.8%,"Yes
"
61,ITGAD,2,2,123,1.6%,"No
"
62,ITGAE,1,1,123,0.8%,"No
"
63,ITGAL,1,1,123,0.8%,"No
"
64,P3H4,1,1,123,0.8%,"No
"
65,FOLR2,1,1,123,0.8%,"No
"
66,UTP4,1,1,123,0.8%,"No
"
67,SPTA1,2,2,123,1.6%,"No
"
68,PELP1,1,1,123,0.8%,"No
"
69,TRIM3,1,1,123,0.8%,"No
"
70,SND1,1,1,123,0.8%,"Yes
"
71,SPTAN1,1,1,123,0.8%,"No
"
72,UTP25,1,1,123,0.8%,"No
"
73,NKAP,1,1,123,0.8%,"No
"
74,SLC25A30,1,1,123,0.8%,"No
"
75,CTNNB1,1,1,123,0.8%,"Yes
"
76,HEATR1,1,1,123,0.8%,"No
"
