,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,FAM200B,35,28,517,5.4%,"No
"
1,STPG2,41,30,517,5.8%,"No
"
2,INSL3,2,2,517,0.4%,"No
"
3,KRT6C,26,23,517,4.4%,"No
"
4,ASPM,263,82,517,15.9%,"No
"
5,INSIG1,5,4,517,0.8%,"No
"
6,OGN,10,10,517,1.9%,"No
"
7,FOXM1,33,25,517,4.8%,"No
"
8,FOXE1,5,5,517,1.0%,"No
"
9,FOXC2,13,12,517,2.3%,"No
"
10,FOXJ1,8,8,517,1.5%,"No
"
11,FOXE3,2,2,517,0.4%,"No
"
12,LAMA1,169,76,517,14.7%,"No
"
13,FOXL1,19,15,517,2.9%,"No
"
14,INS,9,9,517,1.7%,"No
"
15,INPP4A,65,44,517,8.5%,"Yes
"
16,INPP5A,21,18,517,3.5%,"No
"
17,INPP5B,33,28,517,5.4%,"No
"
18,FOXO3,20,16,517,3.1%,"Yes
"
19,INPP5D,40,35,517,6.8%,"Yes
"
20,FOXO1,39,32,517,6.2%,"Yes
"
21,INPPL1,107,74,517,14.3%,"Yes
"
22,OGDH,45,34,517,6.6%,"No
"
23,FOXS1,12,12,517,2.3%,"No
"
24,OGG1,7,7,517,1.4%,"No
"
25,PDX1,7,7,517,1.4%,"No
"
26,TNFRSF11B,35,25,517,4.8%,"No
"
27,FLNB,131,70,517,13.5%,"No
"
28,A1BG,20,17,517,3.3%,"No
"
29,FLNA,172,81,517,15.7%,"No
"
30,A2M,80,43,517,8.3%,"No
"
31,MLANA,6,6,517,1.2%,"No
"
32,A2MP1,2,2,517,0.4%,"No
"
33,FLII,33,28,517,5.4%,"No
"
34,FLI1,28,22,517,4.3%,"Yes
"
35,METRNL,9,8,517,1.5%,"No
"
36,FLG,235,112,517,21.7%,"No
"
37,INSL4,9,9,517,1.7%,"No
"
38,NAT1,14,12,517,2.3%,"No
"
39,INSM1,1,1,517,0.2%,"No
"
40,OLR1,14,11,517,2.1%,"No
"
41,INSR,72,50,517,9.7%,"Yes
"
42,OMG,17,15,517,2.9%,"No
"
43,OMP,4,4,517,0.8%,"No
"
44,INSRR,76,55,517,10.6%,"No
"
45,OPA1,35,26,517,5.0%,"No
"
46,EIF3E,33,26,517,5.0%,"Yes
"
47,FLOT2,20,18,517,3.5%,"No
"
