,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,MFSD3,1,1,57,1.8%,"No
"
1,OCLN,1,1,57,1.8%,"No
"
2,KRT6C,2,2,57,3.5%,"No
"
3,MDM1,1,1,57,1.8%,"No
"
4,ASPM,4,3,57,5.3%,"No
"
5,SBF2,1,1,57,1.8%,"No
"
6,RNF146,1,1,57,1.8%,"No
"
7,BDH2,1,1,57,1.8%,"No
"
8,STK32A,1,1,57,1.8%,"No
"
9,ANKS1B,1,1,57,1.8%,"No
"
10,DNAH3,4,2,57,3.5%,"No
"
11,LAMA1,1,1,57,1.8%,"No
"
12,TPH2,1,1,57,1.8%,"No
"
13,KRTAP1-1,1,1,57,1.8%,"No
"
14,RALGAPA1,3,2,57,3.5%,"No
"
15,CEP95,2,1,57,1.8%,"No
"
16,INPP5A,1,1,57,1.8%,"No
"
17,INPP5D,1,1,57,1.8%,"Yes
"
18,INPPL1,1,1,57,1.8%,"Yes
"
19,DMRT2,1,1,57,1.8%,"No
"
20,SVOPL,1,1,57,1.8%,"No
"
21,CRACDL,1,1,57,1.8%,"No
"
22,TNFRSF11B,1,1,57,1.8%,"No
"
23,CNOT11,1,1,57,1.8%,"No
"
24,FLNA,6,6,57,10.5%,"No
"
25,A2M,1,1,57,1.8%,"No
"
26,FOXRED1,1,1,57,1.8%,"No
"
27,TRIM56,1,1,57,1.8%,"No
"
28,FLG,5,5,57,8.8%,"No
"
29,STAB2,1,1,57,1.8%,"No
"
30,INSR,1,1,57,1.8%,"Yes
"
31,DDTL,1,1,57,1.8%,"No
"
32,INSRR,2,2,57,3.5%,"No
"
33,OPA1,1,1,57,1.8%,"No
"
34,CTCF,3,3,57,5.3%,"Yes
"
35,OPCML,1,1,57,1.8%,"No
"
36,SPECC1,1,1,57,1.8%,"No
"
37,FBXW10B,1,1,57,1.8%,"No
"
38,CDH2,1,1,57,1.8%,"No
"
39,KIF27,1,1,57,1.8%,"No
"
40,ISG20L2,1,1,57,1.8%,"No
"
41,CEP89,1,1,57,1.8%,"No
"
42,RGS14,2,2,57,3.5%,"No
"
43,FLT3LG,1,1,57,1.8%,"No
"
44,FLT3,1,1,57,1.8%,"Yes
"
45,TMEM132D,2,2,57,3.5%,"No
"
46,PTCRA,1,1,57,1.8%,"No
"
47,FLT1,1,1,57,1.8%,"Yes
"
48,ILDR2,1,1,57,1.8%,"No
"
49,OPHN1,2,1,57,1.8%,"No
"
50,OPRD1,1,1,57,1.8%,"No
"
51,OPRL1,1,1,57,1.8%,"No
"
52,POSTN,2,2,57,3.5%,"No
"
53,PNPT1,1,1,57,1.8%,"No
"
54,ITGA1,2,2,57,3.5%,"No
"
55,ITGA2,1,1,57,1.8%,"No
"
56,MIPOL1,1,1,57,1.8%,"No
"
57,CDH10,1,1,57,1.8%,"No
"
58,CDH9,1,1,57,1.8%,"No
"
59,CDH8,1,1,57,1.8%,"No
"
60,CDH7,2,1,57,1.8%,"No
"
61,SCGB1D2,1,1,57,1.8%,"No
"
62,AFF2,2,2,57,3.5%,"No
"
63,CDH4,1,1,57,1.8%,"No
"
64,C1ORF74,1,1,57,1.8%,"No
"
65,FMR1,1,1,57,1.8%,"No
"
66,TSGA13,1,1,57,1.8%,"No
"
67,IRF6,1,1,57,1.8%,"No
"
68,IRS1,2,2,57,3.5%,"Yes
"
69,IGF2BP1,1,1,57,1.8%,"No
"
70,ORC2,1,1,57,1.8%,"No
"
71,ZXDB,1,1,57,1.8%,"No
"
72,YTHDF3,1,1,57,1.8%,"No
"
73,SH3PXD2B,2,2,57,3.5%,"No
"
74,ISG20,1,1,57,1.8%,"No
"
75,CDH11,1,1,57,1.8%,"Yes
"
76,FAAH2,2,2,57,3.5%,"No
"
77,ITGA9,2,2,57,3.5%,"No
"
78,ITGAL,1,1,57,1.8%,"No
"
79,ITGAM,1,1,57,1.8%,"No
"
80,CDK6,1,1,57,1.8%,"Yes
"
81,FOLR3,1,1,57,1.8%,"No
"
82,TEX43,1,1,57,1.8%,"No
"
83,FAM222A,1,1,57,1.8%,"No
"
84,ZNF785,1,1,57,1.8%,"No
"
85,TTC13,1,1,57,1.8%,"No
"
86,SPTA1,4,3,57,5.3%,"No
"
87,CDC73,1,1,57,1.8%,"Yes
"
88,SPTAN1,1,1,57,1.8%,"No
"
89,CDH17,1,1,57,1.8%,"No
"
90,CDH16,1,1,57,1.8%,"No
"
91,RBCK1,1,1,57,1.8%,"No
"
92,SLC25A28,1,1,57,1.8%,"No
"
93,ITGA2B,1,1,57,1.8%,"No
"
94,TIFAB,1,1,57,1.8%,"No
"
95,CTAGE9,1,1,57,1.8%,"No
"
96,ITGA3,1,1,57,1.8%,"No
"
97,ITGA4,3,1,57,1.8%,"No
"
98,TRIM50,1,1,57,1.8%,"No
"
99,PTPN22,1,1,57,1.8%,"No
"
100,ITGA7,2,2,57,3.5%,"No
"
101,ITGB4,1,1,57,1.8%,"No
"
102,EIF6,1,1,57,1.8%,"No
"
103,CDKN2B,1,1,57,1.8%,"Yes
"
104,ARHGEF39,1,1,57,1.8%,"No
"
105,OR6C70,1,1,57,1.8%,"No
"
106,CDKN2A,1,1,57,1.8%,"Yes
"
107,ZNF366,1,1,57,1.8%,"No
"
108,FPR3,2,2,57,3.5%,"No
"
109,LAS1L,3,1,57,1.8%,"No
"
110,FPR2,1,1,57,1.8%,"No
"
111,IVNS1ABP,2,2,57,3.5%,"No
"
112,RIPOR1,1,1,57,1.8%,"No
"
113,ITGAV,1,1,57,1.8%,"No
"
114,SPTBN1,2,2,57,3.5%,"No
"
115,SPTB,2,2,57,3.5%,"No
"
116,ITGAX,1,1,57,1.8%,"No
"
117,SQLE,1,1,57,1.8%,"No
"
118,ITGB1,1,1,57,1.8%,"No
"
119,FANK1,1,1,57,1.8%,"No
"
120,BOD1L1,1,1,57,1.8%,"No
"
121,SRP72,1,1,57,1.8%,"No
"
122,ST8SIA6,1,1,57,1.8%,"No
"
123,SAP130,2,2,57,3.5%,"No
"
124,MAEL,3,2,57,3.5%,"No
"
125,C16ORF89,1,1,57,1.8%,"No
"
126,OBI1,1,1,57,1.8%,"No
"
127,CDR1,1,1,57,1.8%,"No
"
128,CEP97,1,1,57,1.8%,"No
"
129,CORO6,1,1,57,1.8%,"No
"
130,ITGB8,1,1,57,1.8%,"No
"
131,ITIH2,1,1,57,1.8%,"No
"
132,ITIH3,1,1,57,1.8%,"No
"
133,SRM,1,1,57,1.8%,"No
"
134,SRP19,1,1,57,1.8%,"No
"
135,PNLDC1,1,1,57,1.8%,"No
"
136,TAS2R30,2,1,57,1.8%,"No
"
137,ATXN3L,2,1,57,1.8%,"No
"
138,FIBCD1,1,1,57,1.8%,"No
"
139,DNLZ,1,1,57,1.8%,"No
"
140,TAS2R50,1,1,57,1.8%,"No
"
141,TAS2R20,1,1,57,1.8%,"No
"
142,C8ORF76,1,1,57,1.8%,"No
"
