,Gene,Total number of mutations,Number of samples with one or more mutations,Profiled Samples,Percentage of samples with one or more mutations,Is Cancer Gene
0,FREM1,1,1,80,1.3%,"No
"
1,PRR23E,1,1,80,1.3%,"No
"
2,OCLN,1,1,80,1.3%,"No
"
3,SHPK,1,1,80,1.3%,"No
"
4,KRT31,1,1,80,1.3%,"No
"
5,AHCTF1,1,1,80,1.3%,"No
"
6,IGSF10,1,1,80,1.3%,"No
"
7,KRT32,1,1,80,1.3%,"No
"
8,ASPM,1,1,80,1.3%,"No
"
9,OGN,1,1,80,1.3%,"No
"
10,FOXM1,1,1,80,1.3%,"No
"
11,LAMA1,2,2,80,2.5%,"No
"
12,GNB3,1,1,80,1.3%,"No
"
13,DNER,1,1,80,1.3%,"No
"
14,CEP95,1,1,80,1.3%,"No
"
15,INPP5A,1,1,80,1.3%,"No
"
16,CNTN2,1,1,80,1.3%,"No
"
17,FOXO3,1,1,80,1.3%,"Yes
"
18,KCNK13,1,1,80,1.3%,"No
"
19,TBCD,1,1,80,1.3%,"No
"
20,YAP1,1,1,80,1.3%,"Yes
"
21,FOXS1,1,1,80,1.3%,"No
"
22,GAB1,1,1,80,1.3%,"Yes
"
23,MMS22L,1,1,80,1.3%,"No
"
24,MORC2,1,1,80,1.3%,"No
"
25,ANKRD6,1,1,80,1.3%,"No
"
26,FLNA,1,1,80,1.3%,"No
"
27,TRIM56,1,1,80,1.3%,"No
"
28,CSPG4,1,1,80,1.3%,"No
"
29,NCAN,1,1,80,1.3%,"No
"
30,TBX6,2,2,80,2.5%,"No
"
31,DRG1,1,1,80,1.3%,"No
"
32,TBX5,1,1,80,1.3%,"No
"
33,NEDD4,1,1,80,1.3%,"No
"
34,KRT83,1,1,80,1.3%,"No
"
35,RPL10A,1,1,80,1.3%,"No
"
36,TRPM6,1,1,80,1.3%,"No
"
37,FLNC,1,1,80,1.3%,"No
"
38,ZNF425,1,1,80,1.3%,"No
"
39,SPECC1,1,1,80,1.3%,"No
"
40,CD109,1,1,80,1.3%,"No
"
41,OR1F1,1,1,80,1.3%,"No
"
42,LMTK2,1,1,80,1.3%,"No
"
43,TSC22D4,1,1,80,1.3%,"No
"
44,FMO3,1,1,80,1.3%,"No
"
45,FMO2,1,1,80,1.3%,"No
"
46,CASKIN1,1,1,80,1.3%,"No
"
47,PCDH19,1,1,80,1.3%,"No
"
48,GABRE,1,1,80,1.3%,"No
"
49,GABRD,1,1,80,1.3%,"No
"
50,NWD1,1,1,80,1.3%,"No
"
51,KTN1,1,1,80,1.3%,"Yes
"
52,PYGL,1,1,80,1.3%,"No
"
53,EFEMP2,1,1,80,1.3%,"No
"
54,PPM1J,1,1,80,1.3%,"No
"
55,MED25,1,1,80,1.3%,"No
"
56,SLITRK3,1,1,80,1.3%,"No
"
57,GPR83,1,1,80,1.3%,"No
"
58,LMOD3,1,1,80,1.3%,"No
"
59,OXLD1,1,1,80,1.3%,"No
"
60,ATOSA,1,1,80,1.3%,"No
"
61,OR4K1,1,1,80,1.3%,"No
"
62,CDH7,1,1,80,1.3%,"No
"
63,SPAG11B,1,1,80,1.3%,"No
"
64,CDH4,2,2,80,2.5%,"No
"
65,NUFIP2,1,1,80,1.3%,"No
"
66,ARHGAP17,1,1,80,1.3%,"No
"
67,ACTL7B,1,1,80,1.3%,"No
"
68,BPIFB1,1,1,80,1.3%,"No
"
69,C12ORF50,1,1,80,1.3%,"No
"
70,ADAMTS18,1,1,80,1.3%,"No
"
71,NEU2,1,1,80,1.3%,"No
"
72,MAP2K3,1,1,80,1.3%,"No
"
73,ADAD2,1,1,80,1.3%,"No
"
74,XKR4,1,1,80,1.3%,"No
"
75,CSMD3,3,3,80,3.8%,"No
"
76,CNGA2,1,1,80,1.3%,"No
"
77,FANCL,1,1,80,1.3%,"Yes
"
78,GALNT2,1,1,80,1.3%,"No
"
79,PI4K2A,1,1,80,1.3%,"No
"
80,NLRP3,1,1,80,1.3%,"No
"
81,SPTA1,2,2,80,2.5%,"No
"
82,ABHD8,1,1,80,1.3%,"No
"
83,IFIT3,1,1,80,1.3%,"No
"
84,SPAG5,1,1,80,1.3%,"No
"
85,CDH18,1,1,80,1.3%,"No
"
86,ESRRG,1,1,80,1.3%,"No
"
87,TRIM68,1,1,80,1.3%,"No
"
88,TTC8,1,1,80,1.3%,"No
"
89,CEP192,1,1,80,1.3%,"No
"
90,EIF2AK2,1,1,80,1.3%,"No
"
91,TCF19,1,1,80,1.3%,"No
"
92,ITGA4,1,1,80,1.3%,"No
"
93,ANO10,1,1,80,1.3%,"No
"
94,FRMPD1,1,1,80,1.3%,"No
"
95,MUCL3,3,1,80,1.3%,"No
"
96,NFE2L2,1,1,80,1.3%,"Yes
"
97,NFIC,1,1,80,1.3%,"No
"
98,CPEB3,1,1,80,1.3%,"No
"
99,MYO1F,2,2,80,2.5%,"No
"
100,EVC,1,1,80,1.3%,"No
"
101,INTS5,1,1,80,1.3%,"No
"
102,SPHKAP,2,2,80,2.5%,"No
"
103,USP35,1,1,80,1.3%,"No
"
104,ETS1,1,1,80,1.3%,"Yes
"
105,GAP43,1,1,80,1.3%,"No
"
106,SPTBN1,1,1,80,1.3%,"No
"
107,ITGAX,1,1,80,1.3%,"No
"
108,CAT,1,1,80,1.3%,"No
"
109,TRIM4,1,1,80,1.3%,"No
"
110,WDR27,1,1,80,1.3%,"No
"
111,RAC2,1,1,80,1.3%,"Yes
"
112,RAC3,1,1,80,1.3%,"No
"
113,COL4A2,1,1,80,1.3%,"No
"
114,EWSR1,1,1,80,1.3%,"Yes
"
115,COL4A1,1,1,80,1.3%,"No
"
116,COL2A1,1,1,80,1.3%,"Yes
"
117,SAP130,1,1,80,1.3%,"No
"
118,DCAF11,1,1,80,1.3%,"No
"
119,HOXB8,1,1,80,1.3%,"No
"
120,HOXB5,1,1,80,1.3%,"No
"
121,ZSCAN16,1,1,80,1.3%,"No
"
122,MRAS,1,1,80,1.3%,"No
"
123,AP1G2,1,1,80,1.3%,"No
"
124,DNAJC8,1,1,80,1.3%,"No
"
125,SNX18,1,1,80,1.3%,"No
"
126,COL9A1,1,1,80,1.3%,"No
"
127,EYA3,1,1,80,1.3%,"No
"
128,SPAG16,1,1,80,1.3%,"No
"
129,UNC79,1,1,80,1.3%,"No
"
130,RAB2B,1,1,80,1.3%,"No
"
131,RUNX1,1,1,80,1.3%,"Yes
"
132,NPHP3,1,1,80,1.3%,"No
"
133,IQSEC3,1,1,80,1.3%,"No
"
134,KIAA1217,1,1,80,1.3%,"No
"
135,COL5A1,2,1,80,1.3%,"No
"
136,RAD23B,1,1,80,1.3%,"No
"
137,NFX1,1,1,80,1.3%,"No
"
138,SLC39A5,1,1,80,1.3%,"No
"
139,PNLIP,1,1,80,1.3%,"No
"
140,RELN,1,1,80,1.3%,"Yes
"
141,SHANK1,1,1,80,1.3%,"No
"
142,PSAP,1,1,80,1.3%,"No
"
143,F7,1,1,80,1.3%,"No
"
144,IGFBP3,1,1,80,1.3%,"No
"
145,F5,1,1,80,1.3%,"No
"
146,CENPF,1,1,80,1.3%,"No
"
147,SKOR1,1,1,80,1.3%,"No
"
148,CENPE,2,2,80,2.5%,"No
"
149,PRDM4,1,1,80,1.3%,"No
"
150,MBTPS2,1,1,80,1.3%,"No
"
151,CDC40,1,1,80,1.3%,"No
"
152,ZDHHC23,1,1,80,1.3%,"No
"
153,INKA1,1,1,80,1.3%,"No
"
154,COL9A2,2,2,80,2.5%,"No
"
155,SPRY2,1,1,80,1.3%,"No
"
156,BICD1,1,1,80,1.3%,"No
"
157,HERC2,1,1,80,1.3%,"No
"
158,UNC13B,1,1,80,1.3%,"No
"
159,TWF2,1,1,80,1.3%,"No
"
160,NCOA2,1,1,80,1.3%,"Yes
"
161,HDAC5,3,2,80,2.5%,"No
"
162,KRR1,1,1,80,1.3%,"No
"
163,ATF7IP,1,1,80,1.3%,"No
"
164,N4BP2,1,1,80,1.3%,"No
"
165,BTBD7,1,1,80,1.3%,"No
"
166,TBL2,1,1,80,1.3%,"No
"
167,ANAPC1,1,1,80,1.3%,"No
"
168,MUC2,1,1,80,1.3%,"No
"
169,PSG4,1,1,80,1.3%,"No
"
170,MUC4,2,2,80,2.5%,"No
"
171,MUC5AC,1,1,80,1.3%,"No
"
172,SLC4A1,1,1,80,1.3%,"No
"
173,NLRP9,1,1,80,1.3%,"No
"
174,NLRP14,1,1,80,1.3%,"No
"
175,F12,1,1,80,1.3%,"No
"
176,CETP,1,1,80,1.3%,"No
"
177,BCOR,1,1,80,1.3%,"Yes
"
178,HHAT,2,2,80,2.5%,"No
"
179,BNC1,1,1,80,1.3%,"No
"
180,ANGPT4,1,1,80,1.3%,"No
"
181,OBSCN,2,2,80,2.5%,"No
"
182,ZFC3H1,1,1,80,1.3%,"No
"
183,MFSD14CP,1,1,80,1.3%,"No
"
184,BMP1,1,1,80,1.3%,"No
"
185,PSG1,1,1,80,1.3%,"No
"
186,FUBP3,1,1,80,1.3%,"No
"
187,SERPINA9,1,1,80,1.3%,"No
"
188,MPP1,1,1,80,1.3%,"No
"
189,AGAP2,1,1,80,1.3%,"No
"
190,ADGRA2,1,1,80,1.3%,"Yes
"
191,DNAJC1,1,1,80,1.3%,"No
"
192,ARAP1,1,1,80,1.3%,"No
"
193,MAPK8IP2,1,1,80,1.3%,"No
"
194,SEMA4A,1,1,80,1.3%,"No
"
195,AGAP1,2,1,80,1.3%,"No
"
196,CLPSL2,1,1,80,1.3%,"No
"
197,KIF13B,1,1,80,1.3%,"No
"
198,UBR2,1,1,80,1.3%,"No
"
199,ARSB,1,1,80,1.3%,"No
"
200,CHST12,1,1,80,1.3%,"No
"
201,BMP7,1,1,80,1.3%,"No
"
202,H2AZ1,1,1,80,1.3%,"No
"
203,RNF43,2,2,80,2.5%,"Yes
"
204,GTDC1,1,1,80,1.3%,"No
"
205,NOP10,1,1,80,1.3%,"No
"
206,DNAH11,1,1,80,1.3%,"No
"
207,AP3D1,1,1,80,1.3%,"No
"
208,B4GALT4,1,1,80,1.3%,"No
"
209,ELOVL2,1,1,80,1.3%,"No
"
210,NPEPL1,1,1,80,1.3%,"No
"
211,CCAR1,1,1,80,1.3%,"No
"
212,FAM217A,1,1,80,1.3%,"No
"
213,MLST8,1,1,80,1.3%,"No
"
214,DMXL2,1,1,80,1.3%,"No
"
215,KRT79,1,1,80,1.3%,"No
"
216,OR6C65,1,1,80,1.3%,"No
"
217,CUX2,1,1,80,1.3%,"No
"
218,NECAP1,1,1,80,1.3%,"No
"
219,KCNE3,1,1,80,1.3%,"No
"
220,TRPV2,1,1,80,1.3%,"No
"
221,GOLGA8B,1,1,80,1.3%,"No
"
222,SMPD3,1,1,80,1.3%,"No
"
223,PSD4,1,1,80,1.3%,"No
"
224,MPP3,1,1,80,1.3%,"No
"
225,CAP2,1,1,80,1.3%,"No
"
226,SLC6A12,1,1,80,1.3%,"No
"
227,FBLN7,1,1,80,1.3%,"No
"
228,FLRT1,1,1,80,1.3%,"No
"
229,ZNF281,1,1,80,1.3%,"No
"
230,SLC9A3,1,1,80,1.3%,"No
"
231,TSHZ2,1,1,80,1.3%,"No
"
232,USP13,1,1,80,1.3%,"No
"
233,PPARA,1,1,80,1.3%,"No
"
234,UTRN,2,2,80,2.5%,"No
"
235,CUL7,1,1,80,1.3%,"No
"
236,FUT9,1,1,80,1.3%,"No
"
237,FAT2,1,1,80,1.3%,"No
"
238,SLC40A1,1,1,80,1.3%,"No
"
239,FAT1,2,2,80,2.5%,"Yes
"
240,SRRM2,1,1,80,1.3%,"No
"
241,ZC3H7A,1,1,80,1.3%,"No
"
242,NCKAP5L,1,1,80,1.3%,"No
"
243,ZNF442,1,1,80,1.3%,"No
"
244,BRCA2,1,1,80,1.3%,"Yes
"
245,SLCO2B1,1,1,80,1.3%,"No
"
246,SSH1,1,1,80,1.3%,"No
"
247,MYO15A,2,2,80,2.5%,"No
"
248,GRHL2,1,1,80,1.3%,"No
"
249,CGAS,1,1,80,1.3%,"No
"
250,GARIN4,1,1,80,1.3%,"No
"
251,VAV3,1,1,80,1.3%,"No
"
252,MEAK7,1,1,80,1.3%,"No
"
253,SNX4,1,1,80,1.3%,"No
"
254,DHTKD1,1,1,80,1.3%,"No
"
255,SBF1,1,1,80,1.3%,"No
"
256,MAOB,2,2,80,2.5%,"No
"
257,GBA2,1,1,80,1.3%,"No
"
